

lambda(nm), Y
400, 0.643498
401, 0.646662
402, 0.648847
403, 0.652827
404, 0.654206
405, 0.658102
406, 0.659459
407, 0.661677
408, 0.663661
409, 0.662616
410, 0.663476
411, 0.657975
412, 0.642114
413, 0.620721
414, 0.619596
415, 0.614339
416, 0.560233
417, 0.521457
418, 0.525124
419, 0.528322
420, 0.529313
421, 0.530107
422, 0.532901
423, 0.53455
424, 0.535432
425, 0.538309
426, 0.536956
427, 0.539809
428, 0.535491
429, 0.523536
430, 0.523087
431, 0.525574
432, 0.528747
433, 0.531782
434, 0.532985
435, 0.537769
436, 0.539347
437, 0.542144
438, 0.546493
439, 0.547064
440, 0.551878
441, 0.554321
442, 0.555313
443, 0.560906
444, 0.560283
445, 0.562039
446, 0.565179
447, 0.552368
448, 0.541163
449, 0.543232
450, 0.546641
451, 0.551597
452, 0.555426
453, 0.557438
454, 0.563722
455, 0.567319
456, 0.569378
457, 0.575975
458, 0.578917
459, 0.581134
460, 0.587961
461, 0.590269
462, 0.591971
463, 0.598637
464, 0.600074
465, 0.599706
466, 0.605203
467, 0.604231
468, 0.592532
469, 0.581817
470, 0.575958
471, 0.575867
472, 0.580811
473, 0.57572
474, 0.551106
475, 0.523892
476, 0.515148
477, 0.522904
478, 0.529948
479, 0.530085
480, 0.532569
481, 0.539627
482, 0.542583
483, 0.543189
484, 0.54869
485, 0.552689
486, 0.551224
487, 0.554285
488, 0.559899
489, 0.555925
490, 0.551398
491, 0.555861
492, 0.544486
493, 0.499057
494, 0.451611
495, 0.437353
496, 0.444862
497, 0.449034
498, 0.447965
499, 0.444999
500, 0.436616
501, 0.427698
502, 0.427005
503, 0.430934
504, 0.432521
505, 0.433721
506, 0.4368
507, 0.439238
508, 0.44124
509, 0.444666
510, 0.447473
511, 0.44879
512, 0.45158
513, 0.455493
514, 0.457377
515, 0.458848
516, 0.462711
517, 0.46616
518, 0.467029
519, 0.469057
520, 0.473519
521, 0.475869
522, 0.475739
523, 0.478256
524, 0.482691
525, 0.483038
526, 0.480776
527, 0.482666
528, 0.485383
529, 0.477232
530, 0.457063
531, 0.438561
532, 0.432909
533, 0.437155
534, 0.442177
535, 0.444164
536, 0.445221
537, 0.447846
538, 0.451955
539, 0.455704
540, 0.458001
541, 0.459934
542, 0.462989
543, 0.466564
544, 0.469189
545, 0.471382
546, 0.474635
547, 0.478343
548, 0.480842
549, 0.48276
550, 0.485918
551, 0.489558
552, 0.491512
553, 0.492554
554, 0.495161
555, 0.497893
556, 0.496092
557, 0.489579
558, 0.484788
559, 0.486618
560, 0.492166
561, 0.495854
562, 0.497373
563, 0.500345
564, 0.505405
565, 0.509547
566, 0.511769
567, 0.514642
568, 0.519476
569, 0.523931
570, 0.526218
571, 0.528382
572, 0.532883
573, 0.538317
574, 0.541653
575, 0.543306
576, 0.546558
577, 0.552172
578, 0.55702
579, 0.559081
580, 0.560782
581, 0.565239
582, 0.57126
583, 0.575043
584, 0.576074
585, 0.578086
586, 0.583432
587, 0.58933
588, 0.591805
589, 0.591648
590, 0.593528
591, 0.599217
592, 0.604607
593, 0.605088
594, 0.602156
595, 0.601913
596, 0.606645
597, 0.609971
598, 0.602181
599, 0.580375
600, 0.552503
601, 0.531216
602, 0.523943
603, 0.528438
604, 0.536631
605, 0.541944
606, 0.543466
607, 0.544542
608, 0.548368
609, 0.554894
610, 0.56135
611, 0.565284
612, 0.566947
613, 0.568775
614, 0.572697
615, 0.578187
616, 0.583105
617, 0.586273
618, 0.588801
619, 0.592646
620, 0.598198
621, 0.603778
622, 0.607677
623, 0.610251
624, 0.613518
625, 0.618718
626, 0.624772
627, 0.629539
628, 0.632396
629, 0.63504
630, 0.639513
631, 0.645751
632, 0.65158
633, 0.65523
634, 0.657455
635, 0.660748
636, 0.666481
637, 0.673247
638, 0.678368
639, 0.680937
640, 0.682945
641, 0.687146
642, 0.693946
643, 0.700811
644, 0.704951
645, 0.706432
646, 0.708277
647, 0.713294
648, 0.72096
649, 0.727745
650, 0.730739
651, 0.730836
652, 0.732059
653, 0.737478
654, 0.745829
655, 0.752431
656, 0.753772
657, 0.751284
658, 0.750334
659, 0.755038
660, 0.763758
661, 0.769934
662, 0.767991
663, 0.759076
664, 0.750891
665, 0.750856
666, 0.757979
667, 0.760681
668, 0.743475
669, 0.698217
670, 0.631542
671, 0.562539
672, 0.511923
673, 0.49019
674, 0.49287
675, 0.505543
676, 0.514319
677, 0.514091
678, 0.509333
679, 0.508134
680, 0.514869
681, 0.527044
682, 0.537981
683, 0.542415
684, 0.540308
685, 0.53623
686, 0.535359
687, 0.539608
688, 0.546796
689, 0.553061
690, 0.556181
691, 0.557087
692, 0.558616
693, 0.562852
694, 0.569373
695, 0.575758
696, 0.579731
697, 0.581071
698, 0.581722
699, 0.584121
700, 0.589175



