

lambda(nm), Y
400, 0.0579904
402, 0.0575916
404, 0.0568982
406, 0.0562633
408, 0.0556833
410, 0.0549328
412, 0.0539526
414, 0.0529306
416, 0.0520455
418, 0.051266
420, 0.0504349
422, 0.0494769
424, 0.0484636
426, 0.0475008
428, 0.0466075
430, 0.0457251
432, 0.0448164
434, 0.0439213
436, 0.0431124
438, 0.0424129
440, 0.0417731
442, 0.0411211
444, 0.0404281
446, 0.0397198
448, 0.0390335
450, 0.0383729
452, 0.0377091
454, 0.0370191
456, 0.036319
458, 0.0356566
460, 0.035071
462, 0.0345614
464, 0.0340912
466, 0.0336236
468, 0.0331541
470, 0.0327107
472, 0.0323253
474, 0.0320009
476, 0.0317045
478, 0.0313886
480, 0.0310226
482, 0.0306098
484, 0.0301773
486, 0.0297523
488, 0.0293426
490, 0.0289373
492, 0.028522
494, 0.0280961
496, 0.0276767
498, 0.0272874
500, 0.0269415
502, 0.0266331
504, 0.0263419
506, 0.0260479
508, 0.0257457
510, 0.0254474
512, 0.0251745
514, 0.0249443
516, 0.02476
518, 0.0246106
520, 0.024479
522, 0.0243514
524, 0.0242231
526, 0.0240951
528, 0.0239677
530, 0.0238337
532, 0.0236788
534, 0.0234876
536, 0.0232528
538, 0.0229806
540, 0.0226903
542, 0.022406
544, 0.0221464
546, 0.0219169
548, 0.0217085
550, 0.0215036
552, 0.0212856
554, 0.0210476
556, 0.0207956
558, 0.0205449
560, 0.0203126
562, 0.0201093
564, 0.0199342
566, 0.0197763
568, 0.0196197
570, 0.0194514
572, 0.0192667
574, 0.0190713
576, 0.0188782
578, 0.0187021
580, 0.0185531
582, 0.0184339
584, 0.01834
586, 0.018263
588, 0.018196
590, 0.0181369
592, 0.0180894
594, 0.0180605
596, 0.018056
598, 0.0180757
600, 0.0181106
602, 0.0181438
604, 0.0181546
606, 0.0181241
608, 0.0180416
610, 0.0179079
612, 0.0177357
614, 0.017546
616, 0.0173619
618, 0.0172021
620, 0.0170755
622, 0.0169794
624, 0.0169009
626, 0.0168217
628, 0.0167237
630, 0.0165953
632, 0.0164343
634, 0.016249
636, 0.0160552
638, 0.0158713
640, 0.0157133
642, 0.0155897
644, 0.0154996
646, 0.0154328
648, 0.0153728
650, 0.0153016
652, 0.015205
654, 0.0150758
656, 0.0149163
658, 0.0147372
660, 0.0145551
662, 0.014388
664, 0.0142504
666, 0.0141502
668, 0.0140862
670, 0.0140486
672, 0.0140216
674, 0.0139868
676, 0.013928
678, 0.0138348
680, 0.0137051
682, 0.0135455
684, 0.0133701
686, 0.0131973
688, 0.0130458
690, 0.0129307
692, 0.0128604
694, 0.0128348
696, 0.0128457
698, 0.0128785
700, 0.0129154
702, 0.0129394
704, 0.0129374
706, 0.0129033
708, 0.0128393
710, 0.0127553
712, 0.0126669
714, 0.0125923
716, 0.0125482
718, 0.012546
720, 0.0125888
722, 0.0126692
724, 0.0127695
726, 0.0128629
728, 0.0129165
730, 0.012895
732, 0.0127658
734, 0.0125026
736, 0.0120893
738, 0.0115225
740, 0.0108123
742, 0.00998138
744, 0.00906327
746, 0.00809885
748, 0.00713252
750, 0.00620799
752, 0.0053644
754, 0.00463316
756, 0.00403568
758, 0.00358232
760, 0.0032725
762, 0.00309585
764, 0.00303413
766, 0.00306379
768, 0.00315864
770, 0.0032925
772, 0.00344144
774, 0.00358555
776, 0.00370998
778, 0.00380538
780, 0.00386772
782, 0.00389756
784, 0.003899
786, 0.00387851
788, 0.00384361
790, 0.0038018
792, 0.00375962
794, 0.00372205
796, 0.0036922
798, 0.00367129
800, 0.00365885
802, 0.00365314
804, 0.00365161
806, 0.00365139
808, 0.00364981
810, 0.00364467
812, 0.00363456
814, 0.00361891
816, 0.00359798
818, 0.00357271
820, 0.00354453
822, 0.00351511
824, 0.0034861
826, 0.00345894
828, 0.00343467
830, 0.00341385
832, 0.00339653
834, 0.00338229
836, 0.00337034
838, 0.00335964
840, 0.00334907
842, 0.00333754
844, 0.00332416
846, 0.0033083
848, 0.00328966
850, 0.00326829
852, 0.00324453
854, 0.00321898
856, 0.00319243
858, 0.00316571
860, 0.00313962
862, 0.00311488
864, 0.00309201
866, 0.00307131
868, 0.00305285
870, 0.00303648
872, 0.00302186
874, 0.00300852
876, 0.00299593
878, 0.00298358
880, 0.002971
882, 0.00295789
884, 0.00294407
886, 0.00292961
888, 0.0029147
890, 0.00289977
892, 0.00288534
894, 0.00287204
896, 0.00286052
898, 0.0028514
900, 0.00284522
902, 0.00284237
904, 0.00284307
906, 0.00284736
908, 0.00285503
910, 0.0028657
912, 0.00287881
914, 0.00289364
916, 0.00290939
918, 0.00292521
920, 0.00294024
922, 0.00295369
924, 0.00296489
926, 0.00297327
928, 0.00297846
930, 0.00298027
932, 0.00297866
934, 0.00297382
936, 0.00296604
938, 0.00295577
940, 0.00294355
942, 0.00292997
944, 0.00291562
946, 0.00290109
948, 0.00288691
950, 0.00287351
952, 0.00286124
954, 0.00285029
956, 0.00284078
958, 0.00283268
960, 0.00282584
962, 0.00282006
964, 0.00281504
966, 0.00281044
968, 0.0028059
970, 0.00280107
972, 0.00279563
974, 0.0027893
976, 0.00278186
978, 0.00277318
980, 0.0027632
982, 0.00275195
984, 0.00273951
986, 0.00272606
988, 0.00271181
990, 0.00269701
992, 0.00268195
994, 0.0026669
996, 0.00265213
998, 0.0026379
1000, 0.0026244



