

lambda(nm), Y
740, 0.299024
740.067, 0.298968
740.133, 0.298913
740.2, 0.298858
740.267, 0.298804
740.333, 0.298751
740.4, 0.298699
740.467, 0.298648
740.533, 0.298598
740.6, 0.298549
740.667, 0.298501
740.733, 0.298453
740.8, 0.298407
740.867, 0.298362
740.933, 0.298318
741, 0.298275
741.067, 0.298233
741.133, 0.298192
741.2, 0.298152
741.267, 0.298113
741.333, 0.298076
741.4, 0.298039
741.467, 0.298004
741.533, 0.29797
741.6, 0.297937
741.667, 0.297906
741.733, 0.297875
741.8, 0.297846
741.867, 0.297818
741.933, 0.297792
742, 0.297767
742.067, 0.297743
742.133, 0.29772
742.2, 0.297699
742.267, 0.297679
742.333, 0.29766
742.4, 0.297643
742.467, 0.297627
742.533, 0.297612
742.6, 0.297599
742.667, 0.297587
742.733, 0.297577
742.8, 0.297568
742.867, 0.29756
742.933, 0.297554
743, 0.29755
743.067, 0.297546
743.133, 0.297545
743.2, 0.297544
743.267, 0.297545
743.333, 0.297548
743.4, 0.297552
743.467, 0.297557
743.533, 0.297564
743.6, 0.297573
743.667, 0.297582
743.733, 0.297594
743.8, 0.297607
743.867, 0.297621
743.933, 0.297637
744, 0.297654
744.067, 0.297672
744.133, 0.297693
744.2, 0.297714
744.267, 0.297737
744.333, 0.297762
744.4, 0.297788
744.467, 0.297815
744.533, 0.297844
744.6, 0.297874
744.667, 0.297906
744.733, 0.29794
744.8, 0.297974
744.867, 0.29801
744.933, 0.298048
745, 0.298087
745.067, 0.298127
745.133, 0.298169
745.2, 0.298212
745.267, 0.298257
745.333, 0.298303
745.4, 0.29835
745.467, 0.298399
745.533, 0.298449
745.6, 0.2985
745.667, 0.298553
745.733, 0.298607
745.8, 0.298662
745.867, 0.298719
745.933, 0.298776
746, 0.298836
746.067, 0.298896
746.133, 0.298958
746.2, 0.299021
746.267, 0.299085
746.333, 0.29915
746.4, 0.299217
746.467, 0.299284
746.533, 0.299353
746.6, 0.299423
746.667, 0.299494
746.733, 0.299567
746.8, 0.29964
746.867, 0.299714
746.933, 0.29979
747, 0.299867
747.067, 0.299944
747.133, 0.300023
747.2, 0.300103
747.267, 0.300183
747.333, 0.300265
747.4, 0.300347
747.467, 0.300431
747.533, 0.300515
747.6, 0.3006
747.667, 0.300687
747.733, 0.300774
747.8, 0.300861
747.867, 0.30095
747.933, 0.301039
748, 0.30113
748.067, 0.301221
748.133, 0.301312
748.2, 0.301405
748.267, 0.301498
748.333, 0.301592
748.4, 0.301686
748.467, 0.301781
748.533, 0.301877
748.6, 0.301973
748.667, 0.30207
748.733, 0.302167
748.8, 0.302265
748.867, 0.302363
748.933, 0.302462
749, 0.302562
749.067, 0.302661
749.133, 0.302761
749.2, 0.302862
749.267, 0.302963
749.333, 0.303064
749.4, 0.303166
749.467, 0.303268
749.533, 0.30337
749.6, 0.303472
749.667, 0.303575
749.733, 0.303678
749.8, 0.303781
749.867, 0.303884
749.933, 0.303987
750, 0.304091
750.067, 0.304195
750.133, 0.304298
750.2, 0.304402
750.267, 0.304506
750.333, 0.30461
750.4, 0.304713
750.467, 0.304817
750.533, 0.304921
750.6, 0.305025
750.667, 0.305128
750.733, 0.305232
750.8, 0.305335
750.867, 0.305438
750.933, 0.305541
751, 0.305644
751.067, 0.305747
751.133, 0.305849
751.2, 0.305951
751.267, 0.306053
751.333, 0.306155
751.4, 0.306256
751.467, 0.306357
751.533, 0.306457
751.6, 0.306557
751.667, 0.306657
751.733, 0.306756
751.8, 0.306855
751.867, 0.306954
751.933, 0.307052
752, 0.30715
752.067, 0.307247
752.133, 0.307343
752.2, 0.307439
752.267, 0.307535
752.333, 0.307629
752.4, 0.307724
752.467, 0.307817
752.533, 0.307911
752.6, 0.308003
752.667, 0.308095
752.733, 0.308186
