

lambda(nm), Y
400, 0.248362
401, 0.248354
402, 0.251373
403, 0.253185
404, 0.253297
405, 0.256886
406, 0.257522
407, 0.257845
408, 0.261435
409, 0.260497
410, 0.260318
411, 0.262663
412, 0.255561
413, 0.247889
414, 0.250103
415, 0.242813
416, 0.217694
417, 0.198507
418, 0.197254
419, 0.200324
420, 0.19988
421, 0.200332
422, 0.202071
423, 0.202852
424, 0.203825
425, 0.205051
426, 0.205893
427, 0.207079
428, 0.207156
429, 0.205301
430, 0.204736
431, 0.206424
432, 0.207757
433, 0.208668
434, 0.210392
435, 0.212015
436, 0.213151
437, 0.214749
438, 0.216582
439, 0.217904
440, 0.219164
441, 0.22098
442, 0.222656
443, 0.223361
444, 0.22426
445, 0.226116
446, 0.225463
447, 0.219566
448, 0.213363
449, 0.21299
450, 0.216238
451, 0.218049
452, 0.219084
453, 0.221453
454, 0.223712
455, 0.225037
456, 0.226918
457, 0.229207
458, 0.23071
459, 0.232176
460, 0.234255
461, 0.235903
462, 0.237014
463, 0.238452
464, 0.239591
465, 0.239893
466, 0.240304
467, 0.23931
468, 0.232586
469, 0.221028
470, 0.213234
471, 0.214321
472, 0.217026
473, 0.209961
474, 0.192177
475, 0.174429
476, 0.166664
477, 0.168239
478, 0.171453
479, 0.171692
480, 0.171023
481, 0.172506
482, 0.175026
483, 0.175875
484, 0.17553
485, 0.176461
486, 0.178594
487, 0.179491
488, 0.178724
489, 0.178712
490, 0.180441
491, 0.180881
492, 0.176301
493, 0.167062
494, 0.157886
495, 0.153497
496, 0.154463
497, 0.157181
498, 0.157653
499, 0.155091
500, 0.151832
501, 0.150233
502, 0.150479
503, 0.151431
504, 0.152459
505, 0.153645
506, 0.154906
507, 0.15596
508, 0.156944
509, 0.158232
510, 0.159688
511, 0.160824
512, 0.161675
513, 0.162817
514, 0.164376
515, 0.165766
516, 0.166674
517, 0.167631
518, 0.169125
519, 0.17073
520, 0.171781
521, 0.172522
522, 0.173755
523, 0.175466
524, 0.176732
525, 0.177206
526, 0.177808
527, 0.179256
528, 0.180536
529, 0.1799
530, 0.177363
531, 0.175215
532, 0.175527
533, 0.177798
534, 0.179805
535, 0.180464
536, 0.180917
537, 0.182578
538, 0.185035
539, 0.186659
540, 0.186957
541, 0.187317
542, 0.189086
543, 0.191637
544, 0.193123
545, 0.192983
546, 0.192831
547, 0.194419
548, 0.197203
549, 0.198749
550, 0.197717
551, 0.19579
552, 0.195911
553, 0.198482
554, 0.199818
555, 0.194969
556, 0.182425
557, 0.166074
558, 0.152482
559, 0.146014
560, 0.146156
561, 0.149
562, 0.150955
563, 0.151194
564, 0.151119
565, 0.152123
566, 0.154111
567, 0.15592
568, 0.156744
569, 0.156916
570, 0.157378
571, 0.158622
572, 0.160265
573, 0.161583
574, 0.162315
575, 0.162883
576, 0.163863
577, 0.165351
578, 0.166877
579, 0.167931
580, 0.168507
581, 0.169104
582, 0.1702
583, 0.171747
584, 0.173201
585, 0.174068
586, 0.174421
587, 0.174854
588, 0.175912
589, 0.17751
590, 0.178946
591, 0.179526
592, 0.17926
593, 0.178953
594, 0.179509
595, 0.180993
596, 0.182251
597, 0.181516
598, 0.177646
599, 0.17107
600, 0.163725
601, 0.157984
602, 0.155306
603, 0.155548
604, 0.157332
605, 0.159112
606, 0.160123
607, 0.160591
608, 0.161209
609, 0.162408
610, 0.164008
611, 0.165464
612, 0.166382
613, 0.166859
614, 0.167354
615, 0.168277
616, 0.169644
617, 0.171107
618, 0.172276
619, 0.173058
620, 0.17371
621, 0.17459
622, 0.175841
623, 0.177277
624, 0.178556
625, 0.17948
626, 0.18017
627, 0.180952
628, 0.182078
629, 0.183514
630, 0.184966
631, 0.186126
632, 0.18693
633, 0.187615
634, 0.188524
635, 0.189826
636, 0.191375
637, 0.192818
638, 0.193874
639, 0.194563
640, 0.195196
641, 0.196139
642, 0.197525
643, 0.19914
644, 0.200573
645, 0.201526
646, 0.202049
647, 0.202517
648, 0.203369
649, 0.204776
650, 0.206504
651, 0.208053
652, 0.209014
653, 0.209367
654, 0.209525
655, 0.210064
656, 0.211317
657, 0.213114
658, 0.214843
659, 0.21583
660, 0.215792
661, 0.215074
662, 0.214479
663, 0.21478
664, 0.216159
665, 0.217939
666, 0.218766
667, 0.217204
668, 0.21243
669, 0.204693
670, 0.195295
671, 0.186105
672, 0.178851
673, 0.174519
674, 0.173115
675, 0.173852
676, 0.175617
677, 0.177469
678, 0.178936
679, 0.180022
680, 0.180997
681, 0.182113
682, 0.183431
683, 0.184806
684, 0.186019
685, 0.186937
686, 0.187607
687, 0.188227
688, 0.189025
689, 0.190135
690, 0.191529
691, 0.193047
692, 0.194498
693, 0.195763
694, 0.196845
695, 0.197846
696, 0.198891
697, 0.200051
698, 0.201308
699, 0.202578
700, 0.203773



