

lambda(nm), Y
400, 0.417448
402, 0.400175
404, 0.401891
406, 0.406517
408, 0.411112
410, 0.41559
412, 0.419305
414, 0.420724
416, 0.408662
418, 0.388083
420, 0.39341
422, 0.399071
424, 0.404788
426, 0.410614
428, 0.416328
430, 0.421646
432, 0.42597
434, 0.427559
436, 0.412488
438, 0.409947
440, 0.410604
442, 0.378131
444, 0.383374
446, 0.387826
448, 0.378728
450, 0.385533
452, 0.393033
454, 0.400099
456, 0.407144
458, 0.413812
460, 0.419631
462, 0.423892
464, 0.422689
466, 0.419247
468, 0.425526
470, 0.431654
472, 0.438989
474, 0.445362
476, 0.44908
478, 0.44995
480, 0.444351
482, 0.439068
484, 0.407056
486, 0.41054
488, 0.411993
490, 0.413151
492, 0.415829
494, 0.407122
496, 0.321109
498, 0.30086
500, 0.296136
502, 0.294528
504, 0.292061
506, 0.28541
508, 0.289363
510, 0.293842
512, 0.297727
514, 0.302402
516, 0.306341
518, 0.309929
520, 0.314696
522, 0.318322
524, 0.320245
526, 0.323895
528, 0.323886
530, 0.308155
532, 0.291759
534, 0.294476
536, 0.28908
538, 0.289836
540, 0.294067
542, 0.29968
544, 0.303808
546, 0.308242
548, 0.313394
550, 0.317678
552, 0.322434
554, 0.32751
556, 0.331672
558, 0.336957
560, 0.341435
562, 0.345972
564, 0.351162
566, 0.354819
568, 0.360084
570, 0.363118
572, 0.36696
574, 0.368653
576, 0.364168
578, 0.347072
580, 0.349812
582, 0.351257
584, 0.354426
586, 0.342671
588, 0.343437
590, 0.347613
592, 0.353884
594, 0.357473
596, 0.362947
598, 0.367115
600, 0.372837
602, 0.377305
604, 0.383012
606, 0.387762
608, 0.393488
610, 0.398497
612, 0.404278
614, 0.409455
616, 0.415326
618, 0.420477
620, 0.426401
622, 0.431199
624, 0.436705
626, 0.439096
628, 0.445599
630, 0.448947
632, 0.456393
634, 0.458029
636, 0.46524
638, 0.46396
640, 0.46902
642, 0.455099
644, 0.427182
646, 0.424551
648, 0.430609
650, 0.43848
652, 0.441203
654, 0.446207
656, 0.449276
658, 0.455548
660, 0.458247
662, 0.462125
664, 0.465215
666, 0.462378
668, 0.464598
670, 0.435666
672, 0.402268
674, 0.399966
676, 0.406116
678, 0.415161
680, 0.416591
682, 0.418749
684, 0.423554
686, 0.425033
688, 0.430978
690, 0.429188
692, 0.430048
694, 0.425507
696, 0.387923
698, 0.355292
700, 0.353796
702, 0.362161
704, 0.369753
706, 0.372029
708, 0.373019
710, 0.377999
712, 0.382116
714, 0.386809
716, 0.391535
718, 0.394637
720, 0.399305
722, 0.402174
724, 0.404202
726, 0.408126
728, 0.407556
730, 0.406655
732, 0.406546
734, 0.385561
736, 0.345797
738, 0.323616
740, 0.327712
742, 0.335155
744, 0.337718
746, 0.337393
748, 0.328944
750, 0.315073
752, 0.307194
754, 0.308739
756, 0.315314
758, 0.321416
760, 0.323893
762, 0.325399
764, 0.328978
766, 0.332833
768, 0.336247
770, 0.340549
772, 0.344359
774, 0.347185
776, 0.350913
778, 0.354553
780, 0.356834
782, 0.359854
784, 0.363305
786, 0.364485
788, 0.365383
790, 0.367707
792, 0.364623
794, 0.350244
796, 0.332267
798, 0.324174
800, 0.328791
802, 0.337379
804, 0.342122
806, 0.343205
808, 0.344439
810, 0.347386
812, 0.351342
814, 0.355609
816, 0.359796
818, 0.363661
820, 0.367493
822, 0.371506
824, 0.375333
826, 0.378938
828, 0.382831
830, 0.38691
832, 0.390671
834, 0.394405
836, 0.398576
838, 0.402746
840, 0.406557
842, 0.41057
844, 0.415004
846, 0.419212
848, 0.423125
850, 0.427441
852, 0.432089
854, 0.436369
856, 0.440509
858, 0.445222
860, 0.450153
862, 0.454567
864, 0.458855
866, 0.4637
868, 0.468653
870, 0.473095
872, 0.477542
874, 0.482571
876, 0.487593
878, 0.492048
880, 0.496592
882, 0.501813
884, 0.507023
886, 0.511588
888, 0.516203
890, 0.521552
892, 0.526942
894, 0.531607
896, 0.536218
898, 0.541635
900, 0.547227
902, 0.551972
904, 0.556366
906, 0.561533
908, 0.567121
910, 0.571888
912, 0.575978
914, 0.580678
916, 0.585992
918, 0.590487
920, 0.593838
922, 0.59743
924, 0.601634
926, 0.604686
928, 0.605689
930, 0.606281
932, 0.606318
934, 0.599477
936, 0.578218
938, 0.545259
940, 0.516576
942, 0.508412
944, 0.521038
946, 0.53831
948, 0.544318
950, 0.538131
952, 0.53037
954, 0.5274
956, 0.522877
958, 0.506126
960, 0.476498
962, 0.446809
964, 0.432376
966, 0.437772
968, 0.45416
970, 0.468035
972, 0.471785
974, 0.467265
976, 0.461594
978, 0.460593
980, 0.465211
982, 0.472473
984, 0.478923
986, 0.483394
988, 0.487135
990, 0.491748
992, 0.497251
994, 0.502222
996, 0.505653
998, 0.508249
1000, 0.511626



