

lambda(nm), Y
400, 0.0581938
402, 0.0573457
404, 0.0562913
406, 0.0541682
408, 0.0526336
410, 0.0521717
412, 0.0510702
414, 0.0490761
416, 0.0479031
418, 0.0476819
420, 0.0466755
422, 0.0447194
424, 0.0435468
426, 0.0434487
428, 0.0426865
430, 0.0407187
432, 0.039257
434, 0.0392143
436, 0.0389518
438, 0.0369579
440, 0.0344887
442, 0.0336523
444, 0.0337386
446, 0.0315104
448, 0.0254045
450, 0.018007
452, 0.0135614
454, 0.0137091
456, 0.0164171
458, 0.0186761
460, 0.0193546
462, 0.0193335
464, 0.0196957
466, 0.0204903
468, 0.0211137
470, 0.0212639
472, 0.0211928
474, 0.0212275
476, 0.0213702
478, 0.0214198
480, 0.0213019
482, 0.0211477
484, 0.0210918
486, 0.0211089
488, 0.0210781
490, 0.0209488
492, 0.0207875
494, 0.0206733
496, 0.0205951
498, 0.0204715
500, 0.0202527
502, 0.0199775
504, 0.0197252
506, 0.0195313
508, 0.0193598
510, 0.0191549
512, 0.0189049
514, 0.0186515
516, 0.0184423
518, 0.0182827
520, 0.0181357
522, 0.0179632
524, 0.017765
526, 0.017577
528, 0.0174365
530, 0.0173491
532, 0.0172874
534, 0.0172168
536, 0.0171216
538, 0.0170091
540, 0.016893
542, 0.0167747
544, 0.0166406
546, 0.0164762
548, 0.0162817
550, 0.0160754
552, 0.0158806
554, 0.0157088
556, 0.0155531
558, 0.0153957
560, 0.0152229
562, 0.0150362
564, 0.0148499
566, 0.01468
568, 0.0145319
570, 0.0143978
572, 0.0142634
574, 0.0141191
576, 0.0139668
578, 0.0138173
580, 0.0136827
582, 0.0135675
584, 0.0134675
586, 0.0133744
588, 0.013284
590, 0.0132012
592, 0.0131377
594, 0.0131039
596, 0.0131003
598, 0.0131141
600, 0.0131229
602, 0.0131044
604, 0.0130459
606, 0.01295
608, 0.0128313
610, 0.0127093
612, 0.0125983
614, 0.0125021
616, 0.0124139
618, 0.0123222
620, 0.0122175
622, 0.0120979
624, 0.0119695
626, 0.0118431
628, 0.0117279
630, 0.0116275
632, 0.0115382
634, 0.0114514
636, 0.0113583
638, 0.0112545
640, 0.0111417
642, 0.0110267
644, 0.010918
646, 0.0108214
648, 0.0107376
650, 0.0106621
652, 0.0105875
654, 0.0105072
656, 0.0104183
658, 0.0103229
660, 0.010227
662, 0.0101376
664, 0.0100594
666, 0.00999322
668, 0.00993517
670, 0.00987917
672, 0.00981975
674, 0.00975507
676, 0.00968846
678, 0.00962785
680, 0.00958335
682, 0.00956367
684, 0.00957281
686, 0.00960807
688, 0.00966022
690, 0.00971568
692, 0.00976006
694, 0.00978187
696, 0.00977535
698, 0.0097415
700, 0.00968723
702, 0.00962283
704, 0.00955884
706, 0.00950305
708, 0.0094587
710, 0.00942418
712, 0.00939412
714, 0.00936162
716, 0.00932062
718, 0.00926785
720, 0.0092037
722, 0.00913198
724, 0.00905862
726, 0.00898977
728, 0.00893001
730, 0.00888109
732, 0.00884154
734, 0.00880727
736, 0.00877283
738, 0.00873302
740, 0.00868439
742, 0.0086261
744, 0.0085601
746, 0.00849054
748, 0.0084226
750, 0.00836105
752, 0.00830906
754, 0.00826742
756, 0.00823435
758, 0.00820606
760, 0.00817774
762, 0.00814474
764, 0.00810375
766, 0.00805357
768, 0.00799531
770, 0.00793213
772, 0.00786843
774, 0.00780884
776, 0.00775709
778, 0.00771527
780, 0.00768335
782, 0.00765924
784, 0.0076393
786, 0.00761917
788, 0.00759474
790, 0.00756296
792, 0.00752252
794, 0.00747403
796, 0.00741987
798, 0.00736365
800, 0.00730945
802, 0.00726099
804, 0.00722092
806, 0.0071904
808, 0.00716892
810, 0.00715457
812, 0.00714452
814, 0.00713575
816, 0.00712574
818, 0.0071131
820, 0.00709792
822, 0.00708181
824, 0.00706766
826, 0.00705908
828, 0.00705964
830, 0.00707211
832, 0.0070978
834, 0.00713605
836, 0.00718411
838, 0.00723735
840, 0.00728971
842, 0.00733454
844, 0.00736549
846, 0.00737745
848, 0.00736729
850, 0.00733444
852, 0.00728103
854, 0.00721177
856, 0.00713333
858, 0.00705355
860, 0.00698038
862, 0.0069208
864, 0.00687979
866, 0.00685953
868, 0.00685891
870, 0.00687335
872, 0.00689512
874, 0.00691392
876, 0.00691783
878, 0.00689441
880, 0.00683192
882, 0.00672048
884, 0.00655304
886, 0.00632614
888, 0.0060403
890, 0.0057001
892, 0.00531387
894, 0.00489308
896, 0.00445147
898, 0.00400407
900, 0.00356606
902, 0.00315177
904, 0.00277375
906, 0.00244197
908, 0.00216337
910, 0.00194161
912, 0.00177708
914, 0.00166715
916, 0.00160664
918, 0.00158842
920, 0.00160407
922, 0.00164459
924, 0.00170108
926, 0.00176528
928, 0.00183005
930, 0.00188968
932, 0.00194004
934, 0.00197862
936, 0.00200441
938, 0.00201771
940, 0.00201982
942, 0.00201279
944, 0.00199903
946, 0.00198108
948, 0.00196129
950, 0.00194169
952, 0.00192381
954, 0.00190866
956, 0.00189668
958, 0.00188787
960, 0.00188178
962, 0.00187771
964, 0.0018748
966, 0.00187216
968, 0.00186898
970, 0.0018646
972, 0.00185859
974, 0.00185076
976, 0.00184117
978, 0.00183008
980, 0.00181792
982, 0.00180525
984, 0.00179267
986, 0.00178074
988, 0.00176996
990, 0.00176073
992, 0.00175326
994, 0.00174763
996, 0.00174375
998, 0.00174136
1000, 0.0017401



