

lambda(nm), Y
400, 0.360606
402, 0.365919
404, 0.371427
406, 0.376805
408, 0.381317
410, 0.383556
412, 0.376737
414, 0.37327
416, 0.36827
418, 0.365088
420, 0.368943
422, 0.373269
424, 0.378454
426, 0.383568
428, 0.387023
430, 0.387846
432, 0.395067
434, 0.402523
436, 0.40857
438, 0.414447
440, 0.422139
442, 0.428025
444, 0.430656
446, 0.433637
448, 0.405212
450, 0.410833
452, 0.416644
454, 0.425544
456, 0.432943
458, 0.440019
460, 0.448351
462, 0.454171
464, 0.460583
466, 0.4646
468, 0.453744
470, 0.430787
472, 0.434616
474, 0.410906
476, 0.376551
478, 0.389228
480, 0.39149
482, 0.396756
484, 0.404716
486, 0.402826
488, 0.411395
490, 0.401988
492, 0.391986
494, 0.303384
496, 0.294067
498, 0.297929
500, 0.286259
502, 0.279362
504, 0.284564
506, 0.287565
508, 0.292062
510, 0.296059
512, 0.299967
514, 0.304043
516, 0.308308
518, 0.312111
520, 0.316699
522, 0.320031
524, 0.324863
526, 0.327171
528, 0.331566
530, 0.32691
532, 0.323699
534, 0.329109
536, 0.33287
538, 0.338046
540, 0.342287
542, 0.347636
544, 0.351244
546, 0.357537
548, 0.360026
550, 0.36695
552, 0.367602
554, 0.373499
556, 0.367699
558, 0.350123
560, 0.350768
562, 0.357803
564, 0.361609
566, 0.36782
568, 0.373597
570, 0.377503
572, 0.384462
574, 0.388429
576, 0.394734
578, 0.400245
580, 0.404212
582, 0.411922
584, 0.414097
586, 0.421205
588, 0.425321
590, 0.426677
592, 0.434887
594, 0.429517
596, 0.432271
598, 0.423576
600, 0.364909
602, 0.331536
604, 0.342363
606, 0.343143
608, 0.347011
610, 0.355987
612, 0.357116
614, 0.362223
616, 0.366222
618, 0.370256
620, 0.37698
622, 0.379629
624, 0.385427
626, 0.391211
628, 0.393616
630, 0.400928
632, 0.40563
634, 0.408443
636, 0.416797
638, 0.42049
640, 0.423774
642, 0.432939
644, 0.435691
646, 0.438928
648, 0.448751
650, 0.450534
652, 0.452879
654, 0.463579
656, 0.464309
658, 0.463677
660, 0.474858
662, 0.473861
664, 0.464763
666, 0.473416
668, 0.463911
670, 0.403267
672, 0.344838
674, 0.334358
676, 0.34235
678, 0.343521
680, 0.349094
682, 0.358177
684, 0.360833
686, 0.362491
688, 0.367052
690, 0.371089
692, 0.376464
694, 0.382854
696, 0.385813
698, 0.389197
700, 0.396417
702, 0.400687
704, 0.401578
706, 0.40745
708, 0.414988
710, 0.415667
712, 0.4165
714, 0.424858
716, 0.429834
718, 0.425195
720, 0.425141
722, 0.433676
724, 0.428313
726, 0.395885
728, 0.356535
730, 0.334832
732, 0.331478
734, 0.335235
736, 0.340548
738, 0.344585
740, 0.34479
742, 0.344419
744, 0.346466
746, 0.342463
748, 0.32196
750, 0.29174
752, 0.270903
754, 0.267263
756, 0.27163
758, 0.275011
760, 0.278417
762, 0.284016
764, 0.288384
766, 0.288975
768, 0.289222
770, 0.292723
772, 0.29781
774, 0.301493
776, 0.304427
778, 0.30847
780, 0.31274
782, 0.315574
784, 0.317987
786, 0.321879
788, 0.326434
790, 0.329504
792, 0.331563
794, 0.335077
796, 0.34019
798, 0.344219
800, 0.346075
802, 0.348291
804, 0.353025
806, 0.358337
808, 0.360941
810, 0.361441
812, 0.363787
814, 0.36925
816, 0.373861
818, 0.373708
820, 0.370962
822, 0.371562
824, 0.376433
826, 0.377341
828, 0.363657
830, 0.333282
832, 0.29595
834, 0.265608
836, 0.250071
838, 0.2476
840, 0.25161
842, 0.256874
844, 0.261415
846, 0.264584
848, 0.265517
850, 0.263968
852, 0.26156
854, 0.261007
856, 0.263748
858, 0.268635
860, 0.273158
862, 0.275822
864, 0.277179
866, 0.278713
868, 0.281112
870, 0.283782
872, 0.285851
874, 0.287275
876, 0.288806
878, 0.291059
880, 0.293838
882, 0.296452
884, 0.298549
886, 0.300476
888, 0.302824
890, 0.305737
892, 0.308775
894, 0.31143
896, 0.313677
898, 0.315962
900, 0.31866
902, 0.321658
904, 0.324488
906, 0.326864
908, 0.329022
910, 0.33149
912, 0.334552
914, 0.337952
916, 0.341154
918, 0.343879
920, 0.346367
922, 0.349123
924, 0.352405
926, 0.355974
928, 0.35934
930, 0.362257
932, 0.36496
934, 0.367926
936, 0.371406
938, 0.375165
940, 0.378709
942, 0.381755
944, 0.384509
946, 0.387485
948, 0.391029
950, 0.394985
952, 0.398824
954, 0.402119
956, 0.40494
958, 0.407808
960, 0.411243
962, 0.41529
964, 0.41945
966, 0.423085
968, 0.425967
970, 0.428496
972, 0.431392
974, 0.435084
976, 0.439306
978, 0.443245
980, 0.44617
982, 0.448045
984, 0.449635
986, 0.45194
988, 0.455296
990, 0.458788
992, 0.460424
994, 0.458069
996, 0.450641
998, 0.43887
1000, 0.425199



