

lambda(nm), Y
740, 0.302729
740.067, 0.302641
740.133, 0.302553
740.2, 0.302466
740.267, 0.302379
740.333, 0.302292
740.4, 0.302205
740.467, 0.302118
740.533, 0.302032
740.6, 0.301946
740.667, 0.301861
740.733, 0.301775
740.8, 0.30169
740.867, 0.301606
740.933, 0.301522
741, 0.301438
741.067, 0.301354
741.133, 0.301271
741.2, 0.301188
741.267, 0.301106
741.333, 0.301024
741.4, 0.300942
741.467, 0.300861
741.533, 0.300781
741.6, 0.3007
741.667, 0.30062
741.733, 0.300541
741.8, 0.300462
741.867, 0.300384
741.933, 0.300306
742, 0.300228
742.067, 0.300151
742.133, 0.300075
742.2, 0.299999
742.267, 0.299923
742.333, 0.299848
742.4, 0.299774
742.467, 0.2997
742.533, 0.299627
742.6, 0.299554
742.667, 0.299481
742.733, 0.29941
742.8, 0.299339
742.867, 0.299268
742.933, 0.299198
743, 0.299128
743.067, 0.29906
743.133, 0.298991
743.2, 0.298924
743.267, 0.298856
743.333, 0.29879
743.4, 0.298724
743.467, 0.298659
743.533, 0.298594
743.6, 0.29853
743.667, 0.298467
743.733, 0.298404
743.8, 0.298342
743.867, 0.29828
743.933, 0.298219
744, 0.298159
744.067, 0.298099
744.133, 0.298041
744.2, 0.297982
744.267, 0.297925
744.333, 0.297868
744.4, 0.297812
744.467, 0.297756
744.533, 0.297701
744.6, 0.297647
744.667, 0.297593
744.733, 0.29754
744.8, 0.297488
744.867, 0.297437
744.933, 0.297386
745, 0.297336
745.067, 0.297287
745.133, 0.297238
745.2, 0.29719
745.267, 0.297143
745.333, 0.297096
745.4, 0.297051
745.467, 0.297006
745.533, 0.296961
745.6, 0.296918
745.667, 0.296875
745.733, 0.296833
745.8, 0.296792
745.867, 0.296751
745.933, 0.296711
746, 0.296672
746.067, 0.296634
746.133, 0.296596
746.2, 0.296559
746.267, 0.296523
746.333, 0.296488
746.4, 0.296454
746.467, 0.29642
746.533, 0.296387
746.6, 0.296355
746.667, 0.296324
746.733, 0.296293
746.8, 0.296263
746.867, 0.296234
746.933, 0.296206
747, 0.296179
747.067, 0.296152
747.133, 0.296126
747.2, 0.296101
747.267, 0.296077
747.333, 0.296054
747.4, 0.296031
747.467, 0.29601
747.533, 0.295989
747.6, 0.295969
747.667, 0.29595
747.733, 0.295931
747.8, 0.295914
747.867, 0.295897
747.933, 0.295881
748, 0.295866
748.067, 0.295852
748.133, 0.295839
748.2, 0.295827
748.267, 0.295815
748.333, 0.295804
748.4, 0.295794
748.467, 0.295785
748.533, 0.295777
748.6, 0.29577
748.667, 0.295764
748.733, 0.295758
748.8, 0.295754
748.867, 0.29575
748.933, 0.295747
749, 0.295745
749.067, 0.295744
749.133, 0.295744
749.2, 0.295745
749.267, 0.295746
749.333, 0.295749
749.4, 0.295752
749.467, 0.295756
749.533, 0.295762
749.6, 0.295768
749.667, 0.295775
749.733, 0.295783
749.8, 0.295791
749.867, 0.295801
749.933, 0.295812
750, 0.295823
750.067, 0.295836
750.133, 0.295849
750.2, 0.295863
750.267, 0.295878
750.333, 0.295894
750.4, 0.295911
750.467, 0.295929
750.533, 0.295948
750.6, 0.295968
750.667, 0.295989
750.733, 0.29601
750.8, 0.296033
750.867, 0.296056
750.933, 0.29608
751, 0.296105
751.067, 0.296132
751.133, 0.296159
751.2, 0.296187
751.267, 0.296215
751.333, 0.296245
751.4, 0.296276
751.467, 0.296307
751.533, 0.29634
751.6, 0.296373
751.667, 0.296407
751.733, 0.296442
751.8, 0.296478
751.867, 0.296515
751.933, 0.296553
752, 0.296592
752.067, 0.296631
752.133, 0.296672
752.2, 0.296713
752.267, 0.296755
752.333, 0.296798
752.4, 0.296842
752.467, 0.296887
752.533, 0.296932
752.6, 0.296979
752.667, 0.297026
752.733, 0.297074
752.8, 0.297123
752.867, 0.297173
752.933, 0.297223
753, 0.297274
753.067, 0.297327
753.133, 0.29738
753.2, 0.297433
753.267, 0.297488
753.333, 0.297543
753.4, 0.297599
753.467, 0.297656
753.533, 0.297714
753.6, 0.297772
753.667, 0.297831
753.733, 0.297891
753.8, 0.297952
753.867, 0.298013
753.933, 0.298075
754, 0.298138
754.067, 0.298201
754.133, 0.298265
754.2, 0.29833
754.267, 0.298395
754.333, 0.298461
754.4, 0.298528
754.467, 0.298595
754.533, 0.298663
754.6, 0.298732
754.667, 0.298801
754.733, 0.298871
754.8, 0.298941
754.867, 0.299012
754.933, 0.299084
755, 0.299156
755.067, 0.299229
755.133, 0.299302
755.2, 0.299375
755.267, 0.299449
755.333, 0.299524
755.4, 0.299599
755.467, 0.299675
755.533, 0.299751
755.6, 0.299827
755.667, 0.299904
755.733, 0.299982
755.8, 0.300059
755.867, 0.300138
755.933, 0.300216
756, 0.300295
756.067, 0.300374
756.133, 0.300454
756.2, 0.300534
756.267, 0.300614
756.333, 0.300694
756.4, 0.300775
756.467, 0.300856
756.533, 0.300938
756.6, 0.301019
756.667, 0.301101
756.733, 0.301183
756.8, 0.301265
756.867, 0.301347
756.933, 0.30143
757, 0.301513
757.067, 0.301595
757.133, 0.301678
757.2, 0.301761
757.267, 0.301845
757.333, 0.301928
757.4, 0.302011
757.467, 0.302095
757.533, 0.302178
757.6, 0.302261
757.667, 0.302345
757.733, 0.302428
757.8, 0.302512
757.867, 0.302595
757.933, 0.302678
758, 0.302762
758.067, 0.302845
758.133, 0.302928
758.2, 0.303011
758.267, 0.303093
758.333, 0.303176
758.4, 0.303259
758.467, 0.303341
758.533, 0.303423
758.6, 0.303505
758.667, 0.303587
758.733, 0.303668
758.8, 0.30375
758.867, 0.303831
758.933, 0.303912
759, 0.303992
759.067, 0.304072
759.133, 0.304152
759.2, 0.304232
759.267, 0.304311
759.333, 0.30439
759.4, 0.304468
759.467, 0.304546
759.533, 0.304624
759.6, 0.304701
759.667, 0.304778
759.733, 0.304855
759.8, 0.304931
759.867, 0.305007
759.933, 0.305082
760, 0.305156



