

lambda(nm), Y
400, 0.431417
402, 0.437162
404, 0.442633
406, 0.449198
408, 0.455577
410, 0.449499
412, 0.453545
414, 0.452912
416, 0.425453
418, 0.412589
420, 0.420556
422, 0.428742
424, 0.436942
426, 0.444566
428, 0.450894
430, 0.453606
432, 0.428622
434, 0.435575
436, 0.439746
438, 0.419534
440, 0.427443
442, 0.435522
444, 0.442493
446, 0.448806
448, 0.45314
450, 0.446255
452, 0.44165
454, 0.444962
456, 0.440899
458, 0.384531
460, 0.39252
462, 0.401699
464, 0.408582
466, 0.415544
468, 0.42194
470, 0.427203
472, 0.430461
474, 0.426596
476, 0.415952
478, 0.421512
480, 0.428582
482, 0.434148
484, 0.436237
486, 0.429859
488, 0.388786
490, 0.357289
492, 0.358344
494, 0.363979
496, 0.364945
498, 0.344764
500, 0.335044
502, 0.330203
504, 0.334472
506, 0.340226
508, 0.344461
510, 0.349144
512, 0.354849
514, 0.359939
516, 0.363307
518, 0.367216
520, 0.372418
522, 0.373995
524, 0.369587
526, 0.358962
528, 0.317279
530, 0.303472
532, 0.2928
534, 0.294253
536, 0.298856
538, 0.301704
540, 0.30555
542, 0.309232
544, 0.313111
546, 0.317666
548, 0.321401
550, 0.325428
552, 0.330412
554, 0.333971
556, 0.338163
558, 0.343233
560, 0.345794
562, 0.348967
564, 0.350422
566, 0.352977
568, 0.358892
570, 0.360004
572, 0.361743
574, 0.362921
576, 0.337347
578, 0.323696
580, 0.325138
582, 0.33265
584, 0.331961
586, 0.33418
588, 0.332516
590, 0.317052
592, 0.28295
594, 0.285511
596, 0.289422
598, 0.295531
600, 0.297199
602, 0.301689
604, 0.304964
606, 0.309781
608, 0.312868
610, 0.317735
612, 0.320456
614, 0.325292
616, 0.327398
618, 0.331878
620, 0.332296
622, 0.334892
624, 0.321683
626, 0.316386
628, 0.320414
630, 0.325336
632, 0.329604
634, 0.332741
636, 0.336747
638, 0.340435
640, 0.343873
642, 0.345136
644, 0.342479
646, 0.34683
648, 0.349865
650, 0.35582
652, 0.358229
654, 0.363302
656, 0.366069
658, 0.370303
660, 0.373392
662, 0.375024
664, 0.378445
666, 0.374048
668, 0.375468
670, 0.344201
672, 0.302932
674, 0.299645
676, 0.305193
678, 0.313017
680, 0.31568
682, 0.315763
684, 0.321311
686, 0.323754
688, 0.32883
690, 0.332228
692, 0.335498
694, 0.339993
696, 0.341839
698, 0.346546
700, 0.34836
702, 0.351046
704, 0.354178
706, 0.352462
708, 0.355133
710, 0.344313
712, 0.317492
714, 0.306679
716, 0.310097
718, 0.315722
720, 0.321204
722, 0.321014
724, 0.322824
726, 0.32674
728, 0.327683
730, 0.331398
732, 0.332424
734, 0.330707
736, 0.332298
738, 0.320216
740, 0.291216
742, 0.271745
744, 0.271202
746, 0.2772
748, 0.278331
750, 0.270656
752, 0.263011
754, 0.264366
756, 0.269262
758, 0.272026
760, 0.274613
762, 0.276607
764, 0.277203
766, 0.279153
768, 0.280717
770, 0.275978
772, 0.266274
774, 0.260224
776, 0.261778
778, 0.266767
780, 0.27064
782, 0.272729
784, 0.274194
786, 0.276354
788, 0.279582
790, 0.282851
792, 0.285743
794, 0.288901
796, 0.292144
798, 0.295044
800, 0.298108
802, 0.30139
804, 0.304379
806, 0.307425
808, 0.310813
810, 0.314004
812, 0.317075
814, 0.320514
816, 0.323915
818, 0.327051
820, 0.330492
822, 0.334121
824, 0.337411
826, 0.340772
828, 0.344505
830, 0.348023
832, 0.351354
834, 0.355112
836, 0.358933
838, 0.362329
840, 0.365915
842, 0.369932
844, 0.373611
846, 0.377019
848, 0.380939
850, 0.384979
852, 0.388438
854, 0.391959
856, 0.396004
858, 0.399683
860, 0.402865
862, 0.406721
864, 0.411091
866, 0.414566
868, 0.417537
870, 0.421523
872, 0.425865
874, 0.428956
876, 0.431679
878, 0.435554
880, 0.439209
882, 0.440967
884, 0.442585
886, 0.445681
888, 0.447428
890, 0.445374
892, 0.442972
894, 0.442344
896, 0.433688
898, 0.402589
900, 0.351122
902, 0.303595
904, 0.284936
906, 0.296437
908, 0.317173
910, 0.326745
912, 0.322056
914, 0.313402
916, 0.310302
918, 0.313873
920, 0.319916
922, 0.325162
924, 0.329495
926, 0.333903
928, 0.338309
930, 0.341898
932, 0.34464
934, 0.347413
936, 0.350664
938, 0.353836
940, 0.356442
942, 0.358964
944, 0.362095
946, 0.365595
948, 0.368699
950, 0.371399
952, 0.374476
954, 0.378198
956, 0.381835
958, 0.384806
960, 0.387625
962, 0.391098
964, 0.395048
966, 0.398592
968, 0.401553
970, 0.404749
972, 0.408706
974, 0.412805
976, 0.416225
978, 0.419231
980, 0.422807
982, 0.427147
984, 0.431306
986, 0.434593
988, 0.437633
990, 0.441493
992, 0.446096
994, 0.450268
996, 0.45342
998, 0.456448
1000, 0.46052



