

lambda(nm), Y
740, 0.33871
740.067, 0.338747
740.133, 0.338785
740.2, 0.338823
740.267, 0.338862
740.333, 0.3389
740.4, 0.338939
740.467, 0.338979
740.533, 0.339018
740.6, 0.339058
740.667, 0.339098
740.733, 0.339139
740.8, 0.33918
740.867, 0.339221
740.933, 0.339262
741, 0.339304
741.067, 0.339347
741.133, 0.33939
741.2, 0.339433
741.267, 0.339476
741.333, 0.33952
741.4, 0.339565
741.467, 0.33961
741.533, 0.339655
741.6, 0.339701
741.667, 0.339748
741.733, 0.339795
741.8, 0.339842
741.867, 0.33989
741.933, 0.339939
742, 0.339988
742.067, 0.340037
742.133, 0.340087
742.2, 0.340138
742.267, 0.340189
742.333, 0.340241
742.4, 0.340293
742.467, 0.340346
742.533, 0.3404
742.6, 0.340454
742.667, 0.340509
742.733, 0.340564
742.8, 0.34062
742.867, 0.340677
742.933, 0.340734
743, 0.340792
743.067, 0.340851
743.133, 0.34091
743.2, 0.34097
743.267, 0.341031
743.333, 0.341092
743.4, 0.341154
743.467, 0.341217
743.533, 0.34128
743.6, 0.341344
743.667, 0.341409
743.733, 0.341475
743.8, 0.341541
743.867, 0.341608
743.933, 0.341676
744, 0.341744
744.067, 0.341813
744.133, 0.341883
744.2, 0.341953
744.267, 0.342025
744.333, 0.342097
744.4, 0.34217
744.467, 0.342243
744.533, 0.342318
744.6, 0.342393
744.667, 0.342468
744.733, 0.342545
744.8, 0.342622
744.867, 0.3427
744.933, 0.342779
745, 0.342859
745.067, 0.342939
745.133, 0.34302
745.2, 0.343102
745.267, 0.343185
745.333, 0.343268
745.4, 0.343352
745.467, 0.343437
745.533, 0.343522
745.6, 0.343609
745.667, 0.343696
745.733, 0.343784
745.8, 0.343872
745.867, 0.343962
745.933, 0.344052
746, 0.344143
746.067, 0.344234
746.133, 0.344326
746.2, 0.344419
746.267, 0.344513
746.333, 0.344607
746.4, 0.344703
746.467, 0.344798
746.533, 0.344895
746.6, 0.344992
746.667, 0.34509
746.733, 0.345189
746.8, 0.345288
746.867, 0.345388
746.933, 0.345489
747, 0.34559
747.067, 0.345692
747.133, 0.345795
747.2, 0.345898
747.267, 0.346002
747.333, 0.346107
747.4, 0.346212
747.467, 0.346318
747.533, 0.346425
747.6, 0.346532
747.667, 0.34664
747.733, 0.346748
747.8, 0.346857
747.867, 0.346966
747.933, 0.347076
748, 0.347187
748.067, 0.347298
748.133, 0.34741
748.2, 0.347522
748.267, 0.347635
748.333, 0.347749
748.4, 0.347863
748.467, 0.347977
748.533, 0.348092
748.6, 0.348207
748.667, 0.348323
748.733, 0.348439
748.8, 0.348556
748.867, 0.348674
748.933, 0.348791
749, 0.348909
749.067, 0.349028
749.133, 0.349147
749.2, 0.349266
749.267, 0.349386
749.333, 0.349506
749.4, 0.349627
749.467, 0.349748
749.533, 0.349869
749.6, 0.349991
749.667, 0.350113
749.733, 0.350235
749.8, 0.350357
749.867, 0.35048
749.933, 0.350603
750, 0.350727
750.067, 0.350851
750.133, 0.350975
750.2, 0.351099
750.267, 0.351223
750.333, 0.351348
750.4, 0.351473
750.467, 0.351598
750.533, 0.351724
750.6, 0.351849
750.667, 0.351975
750.733, 0.352101
750.8, 0.352227
750.867, 0.352353
750.933, 0.352479
751, 0.352605
751.067, 0.352732
751.133, 0.352859
751.2, 0.352985
751.267, 0.353112
751.333, 0.353239
751.4, 0.353366
751.467, 0.353493
751.533, 0.35362
751.6, 0.353747
751.667, 0.353874
751.733, 0.354001
751.8, 0.354128
751.867, 0.354255
751.933, 0.354382
752, 0.354509
752.067, 0.354636
752.133, 0.354763
752.2, 0.35489
752.267, 0.355017
752.333, 0.355143
752.4, 0.35527
752.467, 0.355396
752.533, 0.355523
752.6, 0.355649
752.667, 0.355775
752.733, 0.355901
752.8, 0.356027
752.867, 0.356153
752.933, 0.356278
753, 0.356404
753.067, 0.356529
753.133, 0.356654
753.2, 0.356779
753.267, 0.356903
753.333, 0.357028
753.4, 0.357152
753.467, 0.357276
753.533, 0.3574
753.6, 0.357523
753.667, 0.357646
753.733, 0.357769
753.8, 0.357892
753.867, 0.358014
753.933, 0.358136
754, 0.358258
754.067, 0.35838
754.133, 0.358501
754.2, 0.358622
754.267, 0.358743
754.333, 0.358863
754.4, 0.358983
754.467, 0.359103
754.533, 0.359222
754.6, 0.359341
754.667, 0.35946
754.733, 0.359578
754.8, 0.359696
754.867, 0.359814
754.933, 0.359931
755, 0.360048
755.067, 0.360165
755.133, 0.360281
755.2, 0.360396
755.267, 0.360512
755.333, 0.360627
755.4, 0.360742
755.467, 0.360856
755.533, 0.36097
755.6, 0.361083
755.667, 0.361196
755.733, 0.361309
755.8, 0.361421
755.867, 0.361533
755.933, 0.361644
756, 0.361755
756.067, 0.361866
756.133, 0.361976
756.2, 0.362086
756.267, 0.362195
756.333, 0.362304
756.4, 0.362412
756.467, 0.36252
756.533, 0.362628
756.6, 0.362735
756.667, 0.362842
756.733, 0.362949
756.8, 0.363054
756.867, 0.36316
756.933, 0.363265
757, 0.36337
757.067, 0.363474
757.133, 0.363578
757.2, 0.363681
757.267, 0.363784
757.333, 0.363887
757.4, 0.363989
757.467, 0.364091
757.533, 0.364192
757.6, 0.364293
757.667, 0.364394
757.733, 0.364494
757.8, 0.364593
757.867, 0.364693
757.933, 0.364792
758, 0.36489
758.067, 0.364988
758.133, 0.365086
758.2, 0.365183
758.267, 0.36528
758.333, 0.365377
758.4, 0.365473
758.467, 0.365568
758.533, 0.365664
758.6, 0.365759
758.667, 0.365853
758.733, 0.365948
758.8, 0.366042
758.867, 0.366135
758.933, 0.366228
759, 0.366321
759.067, 0.366414
759.133, 0.366506
759.2, 0.366597
759.267, 0.366689
759.333, 0.36678
759.4, 0.366871
759.467, 0.366961
759.533, 0.367051
759.6, 0.367141
759.667, 0.367231
759.733, 0.36732
759.8, 0.367409
759.867, 0.367497
759.933, 0.367586
760, 0.367674



