

lambda(nm), Y
400, 0.436265
402, 0.432257
404, 0.437192
406, 0.441767
408, 0.446207
410, 0.451249
412, 0.456418
414, 0.460528
416, 0.458864
418, 0.45352
420, 0.460777
422, 0.467396
424, 0.473896
426, 0.48045
428, 0.486881
430, 0.492871
432, 0.497788
434, 0.499869
436, 0.4853
438, 0.480932
440, 0.478285
442, 0.422417
444, 0.428723
446, 0.435137
448, 0.428395
450, 0.433764
452, 0.440027
454, 0.445816
456, 0.451371
458, 0.456348
460, 0.460218
462, 0.461652
464, 0.451565
466, 0.43422
468, 0.434177
470, 0.421912
472, 0.428961
474, 0.434997
476, 0.437796
478, 0.436575
480, 0.417009
482, 0.402517
484, 0.382906
486, 0.388094
488, 0.39255
490, 0.396126
492, 0.399435
494, 0.398987
496, 0.372443
498, 0.363985
500, 0.345582
502, 0.330018
504, 0.321676
506, 0.304078
508, 0.306824
510, 0.312398
512, 0.316554
514, 0.320138
516, 0.323383
518, 0.328036
520, 0.332759
522, 0.334886
524, 0.337
526, 0.340932
528, 0.338887
530, 0.319104
532, 0.300143
534, 0.302872
536, 0.299304
538, 0.300567
540, 0.30518
542, 0.310452
544, 0.314709
546, 0.319633
548, 0.324163
550, 0.328724
552, 0.333774
554, 0.337979
556, 0.342721
558, 0.347608
560, 0.351423
562, 0.356511
564, 0.360514
566, 0.364143
568, 0.368867
570, 0.370288
572, 0.373471
574, 0.371843
576, 0.360836
578, 0.329944
580, 0.334079
582, 0.332779
584, 0.334652
586, 0.308729
588, 0.304515
590, 0.307034
592, 0.312414
594, 0.314169
596, 0.317745
598, 0.320801
600, 0.324528
602, 0.32814
604, 0.331625
606, 0.335642
608, 0.33906
610, 0.343381
612, 0.346896
614, 0.351447
616, 0.355093
618, 0.359604
620, 0.36313
622, 0.367352
624, 0.369856
626, 0.371629
628, 0.375852
630, 0.380544
632, 0.385242
634, 0.389584
636, 0.393768
638, 0.39775
640, 0.401004
642, 0.401808
644, 0.395694
646, 0.4001
648, 0.403338
650, 0.410327
652, 0.412736
654, 0.418431
656, 0.421193
658, 0.426005
660, 0.429135
662, 0.430862
664, 0.434433
666, 0.42928
668, 0.430841
670, 0.396596
672, 0.352847
674, 0.348417
676, 0.354156
678, 0.362327
680, 0.364477
682, 0.364713
684, 0.369881
686, 0.372415
688, 0.37719
690, 0.379626
692, 0.381727
694, 0.38312
696, 0.371617
698, 0.361763
700, 0.364481
702, 0.369364
704, 0.374929
706, 0.378671
708, 0.380879
710, 0.386094
712, 0.389782
714, 0.393838
716, 0.398835
718, 0.401519
720, 0.406211
722, 0.409756
724, 0.411755
726, 0.416295
728, 0.41672
730, 0.416636
732, 0.417945
734, 0.401688
736, 0.370697
738, 0.354004
740, 0.35775
742, 0.364282
744, 0.366158
746, 0.366105
748, 0.3575
750, 0.337202
752, 0.321819
754, 0.322131
756, 0.328943
758, 0.334507
760, 0.337493
762, 0.337994
764, 0.340324
766, 0.344757
768, 0.347347
770, 0.350328
772, 0.354594
774, 0.356789
776, 0.359331
778, 0.363367
780, 0.364847
782, 0.366193
784, 0.369616
786, 0.369293
788, 0.366857
790, 0.367754
792, 0.35969
794, 0.329466
796, 0.292505
798, 0.274796
800, 0.279378
802, 0.290482
804, 0.295997
806, 0.294996
808, 0.293016
810, 0.294668
812, 0.299011
814, 0.302957
816, 0.306359
818, 0.310242
820, 0.313926
822, 0.316888
824, 0.319947
826, 0.323336
828, 0.326459
830, 0.329404
832, 0.332629
834, 0.335953
836, 0.339116
838, 0.342353
840, 0.3458
842, 0.349227
844, 0.352571
846, 0.356038
848, 0.359648
850, 0.363217
852, 0.366731
854, 0.370348
856, 0.374111
858, 0.377928
860, 0.381764
862, 0.385619
864, 0.389413
866, 0.393132
868, 0.396943
870, 0.40093
872, 0.404888
874, 0.408676
876, 0.412498
878, 0.416536
880, 0.420598
882, 0.424505
884, 0.428455
886, 0.43263
888, 0.436804
890, 0.440778
892, 0.444788
894, 0.449043
896, 0.45328
898, 0.457241
900, 0.4612
902, 0.465466
904, 0.469785
906, 0.473801
908, 0.477734
910, 0.481967
912, 0.486288
914, 0.4902
916, 0.493786
918, 0.49755
920, 0.501504
922, 0.505075
924, 0.507946
926, 0.51042
928, 0.512863
930, 0.515027
932, 0.515594
934, 0.512003
936, 0.501804
938, 0.486135
940, 0.47185
942, 0.46742
944, 0.474449
946, 0.48448
948, 0.487024
950, 0.480738
952, 0.473399
954, 0.469066
956, 0.458331
958, 0.42633
960, 0.371884
962, 0.315458
964, 0.284296
966, 0.288651
968, 0.313488
970, 0.33338
972, 0.334332
974, 0.321552
976, 0.309238
978, 0.306149
980, 0.310911
982, 0.317723
984, 0.323222
986, 0.327722
988, 0.332285
990, 0.336682
992, 0.340109
994, 0.342555
996, 0.344758
998, 0.347193
1000, 0.349673



