

lambda(nm), Y
400, 0.447188
402, 0.452405
404, 0.457887
406, 0.463305
408, 0.467816
410, 0.469457
412, 0.459424
414, 0.447902
416, 0.420495
418, 0.406972
420, 0.412936
422, 0.418775
424, 0.422668
426, 0.42429
428, 0.42072
430, 0.405687
432, 0.413621
434, 0.420371
436, 0.426739
438, 0.432655
440, 0.438094
442, 0.443197
444, 0.448095
446, 0.450941
448, 0.429754
450, 0.43597
452, 0.442318
454, 0.447092
456, 0.45263
458, 0.460456
460, 0.464929
462, 0.467789
464, 0.474484
466, 0.474637
468, 0.460068
470, 0.443469
472, 0.442433
474, 0.409892
476, 0.369368
478, 0.379412
480, 0.384156
482, 0.389513
484, 0.393877
486, 0.398967
488, 0.403541
490, 0.405035
492, 0.407456
494, 0.388306
496, 0.391148
498, 0.394496
500, 0.391903
502, 0.39074
504, 0.395439
506, 0.401568
508, 0.405638
510, 0.411594
512, 0.41676
514, 0.421681
516, 0.427897
518, 0.431615
520, 0.438257
522, 0.440625
524, 0.446762
526, 0.44586
528, 0.448854
530, 0.422296
532, 0.398103
534, 0.409528
536, 0.411397
538, 0.420611
540, 0.422749
542, 0.431251
544, 0.433287
546, 0.441003
548, 0.441283
550, 0.447788
552, 0.443992
554, 0.444951
556, 0.419723
558, 0.35227
560, 0.348227
562, 0.355698
564, 0.358716
566, 0.365986
568, 0.367731
570, 0.376049
572, 0.378119
574, 0.385805
576, 0.387811
578, 0.395332
580, 0.398134
582, 0.403652
584, 0.408628
586, 0.410292
588, 0.418206
590, 0.415294
592, 0.423522
594, 0.417926
596, 0.416468
598, 0.407635
600, 0.339864
602, 0.302372
604, 0.310762
606, 0.313021
608, 0.317948
610, 0.321257
612, 0.324567
614, 0.329649
616, 0.333768
618, 0.337872
620, 0.341035
622, 0.346677
624, 0.350241
626, 0.354665
628, 0.3603
630, 0.362946
632, 0.369023
634, 0.37339
636, 0.376646
638, 0.383731
640, 0.386657
642, 0.391367
644, 0.398443
646, 0.400351
648, 0.4065
650, 0.412656
652, 0.413499
654, 0.420538
656, 0.425327
658, 0.424426
660, 0.431579
662, 0.434066
664, 0.42776
666, 0.432202
668, 0.425082
670, 0.377784
672, 0.328086
674, 0.317416
676, 0.327715
678, 0.332408
680, 0.334631
682, 0.339519
684, 0.343005
686, 0.34658
688, 0.352826
690, 0.357073
692, 0.358662
694, 0.363293
696, 0.369358
698, 0.37218
700, 0.375723
702, 0.382044
704, 0.385601
706, 0.387636
708, 0.393459
710, 0.39851
712, 0.399431
714, 0.403201
716, 0.409698
718, 0.410376
720, 0.409181
722, 0.414375
724, 0.414854
726, 0.396154
728, 0.368911
730, 0.354296
732, 0.3551
734, 0.360819
736, 0.365773
738, 0.368837
740, 0.369382
742, 0.370614
744, 0.37531
746, 0.377177
748, 0.367654
750, 0.350188
752, 0.337734
754, 0.337114
756, 0.343485
758, 0.34924
760, 0.352196
762, 0.354654
764, 0.358527
766, 0.363265
768, 0.367512
770, 0.371147
772, 0.37491
774, 0.37887
776, 0.382633
778, 0.386548
780, 0.391186
782, 0.39599
784, 0.400033
786, 0.403745
788, 0.408202
790, 0.413106
792, 0.417264
794, 0.420833
796, 0.425151
798, 0.430324
800, 0.434929
802, 0.438507
804, 0.442442
806, 0.447581
808, 0.452651
810, 0.456298
812, 0.45942
814, 0.463809
816, 0.469101
818, 0.472962
820, 0.474586
822, 0.476282
824, 0.480104
826, 0.483428
828, 0.479641
830, 0.464567
832, 0.442205
834, 0.423129
836, 0.416192
838, 0.421325
840, 0.430568
842, 0.436069
844, 0.436746
846, 0.437239
848, 0.441445
850, 0.448378
852, 0.454327
854, 0.457575
856, 0.459773
858, 0.463119
860, 0.467704
862, 0.472202
864, 0.476207
866, 0.480664
868, 0.486107
870, 0.491573
872, 0.495873
874, 0.499328
876, 0.503432
878, 0.508838
880, 0.514471
882, 0.519008
884, 0.522706
886, 0.527096
888, 0.532934
890, 0.539149
892, 0.544215
894, 0.548174
896, 0.552653
898, 0.558827
900, 0.565887
902, 0.571988
904, 0.576505
906, 0.580809
908, 0.58659
910, 0.593784
912, 0.600629
914, 0.605803
916, 0.610052
918, 0.615357
920, 0.622591
922, 0.630432
924, 0.636836
926, 0.641393
928, 0.645865
930, 0.652235
932, 0.660461
934, 0.66846
936, 0.674381
938, 0.67868
940, 0.683691
942, 0.691124
944, 0.700166
946, 0.708267
948, 0.71382
950, 0.717921
952, 0.723313
954, 0.731551
956, 0.741313
958, 0.749648
960, 0.754951
962, 0.758691
964, 0.764054
966, 0.772785
968, 0.783323
970, 0.792159
972, 0.797209
974, 0.799944
976, 0.804131
978, 0.812221
980, 0.822779
982, 0.831542
984, 0.835342
986, 0.835313
988, 0.836141
990, 0.841528
992, 0.849622
994, 0.852692
996, 0.842139
998, 0.815474
1000, 0.779849



