

lambda(nm), Y
400, 0.416763
401, 0.415452
402, 0.414092
403, 0.412826
404, 0.411681
405, 0.410548
406, 0.409294
407, 0.407893
408, 0.406459
409, 0.405143
410, 0.404007
411, 0.402977
412, 0.401917
413, 0.400754
414, 0.399536
415, 0.398379
416, 0.397364
417, 0.396454
418, 0.39553
419, 0.394488
420, 0.393323
421, 0.392136
422, 0.391047
423, 0.390107
424, 0.389264
425, 0.388415
426, 0.387502
427, 0.386558
428, 0.385688
429, 0.384987
430, 0.384466
431, 0.384043
432, 0.383605
433, 0.383086
434, 0.382505
435, 0.381948
436, 0.381487
437, 0.381128
438, 0.380795
439, 0.380388
440, 0.379848
441, 0.379196
442, 0.378521
443, 0.377916
444, 0.377418
445, 0.376988
446, 0.376544
447, 0.376019
448, 0.375413
449, 0.374793
450, 0.374253
451, 0.373853
452, 0.373585
453, 0.373376
454, 0.373139
455, 0.372823
456, 0.372445
457, 0.372072
458, 0.371781
459, 0.371607
460, 0.371518
461, 0.371439
462, 0.371284
463, 0.371014
464, 0.370648
465, 0.370253
466, 0.369903
467, 0.369634
468, 0.369423
469, 0.369205
470, 0.368903
471, 0.368476
472, 0.367936
473, 0.367345
474, 0.366778
475, 0.366287
476, 0.365877
477, 0.365499
478, 0.365084
479, 0.364573
480, 0.363952
481, 0.363256
482, 0.362554
483, 0.361916
484, 0.361382
485, 0.360942
486, 0.360547
487, 0.360134
488, 0.35965
489, 0.359085
490, 0.358469
491, 0.357861
492, 0.357323
493, 0.356893
494, 0.356569
495, 0.356311
496, 0.356058
497, 0.355754
498, 0.355368
499, 0.354906
500, 0.354409
501, 0.353933
502, 0.353527
503, 0.35322
504, 0.353003
505, 0.35284
506, 0.352674
507, 0.352445
508, 0.352115
509, 0.351668
510, 0.351123
511, 0.350523
512, 0.349925
513, 0.349386
514, 0.348942
515, 0.348602
516, 0.348339
517, 0.348089
518, 0.347759
519, 0.34724
520, 0.346427
521, 0.345239
522, 0.343634
523, 0.341627
524, 0.339289
525, 0.33674
526, 0.334133
527, 0.331627
528, 0.329361
529, 0.327432
530, 0.325884
531, 0.324701
532, 0.32382
533, 0.323149
534, 0.322591
535, 0.322062
536, 0.321508
537, 0.32091
538, 0.320282
539, 0.319657
540, 0.319075
541, 0.318569
542, 0.318155
543, 0.317831
544, 0.317579
545, 0.317371
546, 0.31718
547, 0.316988
548, 0.316786
549, 0.31658
550, 0.316384
551, 0.316212
552, 0.316079
553, 0.315989
554, 0.315937
555, 0.315912
556, 0.315898
557, 0.315879
558, 0.315847
559, 0.315797
560, 0.315734
561, 0.315667
562, 0.315609
563, 0.315568
564, 0.315548
565, 0.315549
566, 0.315563
567, 0.315581
568, 0.315591
569, 0.315586
570, 0.315562
571, 0.315521
572, 0.315467
573, 0.31541
574, 0.315357
575, 0.315313
576, 0.315279
577, 0.315253
578, 0.315229
579, 0.315198
580, 0.315154
581, 0.315092
582, 0.315011
583, 0.314912
584, 0.314801
585, 0.314683
586, 0.314563
587, 0.314445
588, 0.31433
589, 0.314215
590, 0.314096
591, 0.313968
592, 0.313827
593, 0.313671
594, 0.313502
595, 0.313326
596, 0.313149
597, 0.31298
598, 0.312827
599, 0.312696
600, 0.31259
601, 0.312507
602, 0.312442
603, 0.312389
604, 0.312338
605, 0.312284
606, 0.312219
607, 0.312142
608, 0.312052
609, 0.311952
610, 0.311849
611, 0.311746
612, 0.311649
613, 0.311561
614, 0.311483
615, 0.311413
616, 0.311347
617, 0.311282
618, 0.311213
619, 0.311136
620, 0.311049
621, 0.310953
622, 0.31085
623, 0.310743
624, 0.310638
625, 0.310539
626, 0.310449
627, 0.310369
628, 0.310299
629, 0.310238
630, 0.310181
631, 0.310125
632, 0.310066
633, 0.310001
634, 0.309929
635, 0.30985
636, 0.309767
637, 0.309682
638, 0.3096
639, 0.309523
640, 0.309456
641, 0.309399
642, 0.309353
643, 0.309315
644, 0.309282
645, 0.309252
646, 0.30922
647, 0.309184
648, 0.309141
649, 0.30909
650, 0.309034
651, 0.308973
652, 0.308913
653, 0.308855
654, 0.308803
655, 0.308759
656, 0.308724
657, 0.308698
658, 0.308678
659, 0.308661
660, 0.308642
661, 0.308618
662, 0.308586
663, 0.308542
664, 0.308485
665, 0.308417
666, 0.30834
667, 0.308257
668, 0.308173
669, 0.308095
670, 0.308025
671, 0.30797
672, 0.307931
673, 0.30791
674, 0.307908
675, 0.307923
676, 0.307952
677, 0.307993
678, 0.308042
679, 0.308095
680, 0.308151
681, 0.308206
682, 0.30826
683, 0.308312
684, 0.308363
685, 0.308414
686, 0.308466
687, 0.30852
688, 0.308576
689, 0.308635
690, 0.308697
691, 0.30876
692, 0.308823
693, 0.308885
694, 0.308943
695, 0.308996
696, 0.309044
697, 0.309085
698, 0.309121
699, 0.309151
700, 0.309178



