

lambda(nm), Y
400, 0.463039
401, 0.461165
402, 0.459292
403, 0.457425
404, 0.455568
405, 0.453728
406, 0.451911
407, 0.450121
408, 0.448363
409, 0.446639
410, 0.444951
411, 0.443296
412, 0.441674
413, 0.440081
414, 0.438513
415, 0.436968
416, 0.435443
417, 0.433936
418, 0.432447
419, 0.430978
420, 0.429531
421, 0.428111
422, 0.426725
423, 0.425378
424, 0.424077
425, 0.422828
426, 0.421638
427, 0.420508
428, 0.419443
429, 0.418441
430, 0.4175
431, 0.416616
432, 0.415783
433, 0.414993
434, 0.414237
435, 0.413506
436, 0.412791
437, 0.412081
438, 0.411371
439, 0.410653
440, 0.409923
441, 0.40918
442, 0.408422
443, 0.407652
444, 0.406874
445, 0.406092
446, 0.405314
447, 0.404545
448, 0.403794
449, 0.403067
450, 0.40237
451, 0.401709
452, 0.401088
453, 0.400508
454, 0.399971
455, 0.399474
456, 0.399015
457, 0.39859
458, 0.398193
459, 0.397817
460, 0.397455
461, 0.397099
462, 0.396742
463, 0.396377
464, 0.395997
465, 0.395596
466, 0.395169
467, 0.394712
468, 0.394224
469, 0.393702
470, 0.393148
471, 0.392561
472, 0.391943
473, 0.391298
474, 0.390629
475, 0.389939
476, 0.389233
477, 0.388516
478, 0.387791
479, 0.387062
480, 0.386334
481, 0.385611
482, 0.384894
483, 0.384188
484, 0.383494
485, 0.382815
486, 0.382151
487, 0.381504
488, 0.380875
489, 0.380263
490, 0.379668
491, 0.379092
492, 0.378532
493, 0.377989
494, 0.377461
495, 0.376948
496, 0.376448
497, 0.375961
498, 0.375485
499, 0.375019
500, 0.374561
501, 0.374111
502, 0.373666
503, 0.373226
504, 0.372788
505, 0.372351
506, 0.371914
507, 0.371475
508, 0.371032
509, 0.370585
510, 0.370132
511, 0.369672
512, 0.369204
513, 0.368726
514, 0.368239
515, 0.367741
516, 0.367233
517, 0.366713
518, 0.366183
519, 0.365642
520, 0.36509
521, 0.364528
522, 0.363957
523, 0.363378
524, 0.362791
525, 0.362197
526, 0.361598
527, 0.360994
528, 0.360388
529, 0.359779
530, 0.35917
531, 0.358562
532, 0.357956
533, 0.357353
534, 0.356754
535, 0.356162
536, 0.355576
537, 0.354998
538, 0.354429
539, 0.35387
540, 0.353322
541, 0.352786
542, 0.352262
543, 0.351752
544, 0.351256
545, 0.350775
546, 0.350308
547, 0.349857
548, 0.349422
549, 0.349003
550, 0.3486
551, 0.348213
552, 0.347843
553, 0.347488
554, 0.34715
555, 0.346826
556, 0.346517
557, 0.346223
558, 0.345942
559, 0.345674
560, 0.345417
561, 0.345172
562, 0.344937
563, 0.34471
564, 0.344492
565, 0.34428
566, 0.344074
567, 0.343873
568, 0.343675
569, 0.34348
570, 0.343286
571, 0.343092
572, 0.342898
573, 0.342703
574, 0.342506
575, 0.342306
576, 0.342103
577, 0.341896
578, 0.341686
579, 0.34147
580, 0.341251
581, 0.341027
582, 0.340798
583, 0.340564
584, 0.340327
585, 0.340084
586, 0.339838
587, 0.339589
588, 0.339336
589, 0.339079
590, 0.338821
591, 0.33856
592, 0.338297
593, 0.338033
594, 0.337768
595, 0.337502
596, 0.337236
597, 0.33697
598, 0.336705
599, 0.33644
600, 0.336176
601, 0.335913
602, 0.335652
603, 0.335392
604, 0.335134
605, 0.334878
606, 0.334623
607, 0.334371
608, 0.334121
609, 0.333873
610, 0.333628
611, 0.333385
612, 0.333145
613, 0.332907
614, 0.332671
615, 0.332439
616, 0.332209
617, 0.331982
618, 0.331758
619, 0.331537
620, 0.33132
621, 0.331105
622, 0.330894
623, 0.330686
624, 0.330482
625, 0.330281
626, 0.330084
627, 0.329891
628, 0.329702
629, 0.329516
630, 0.329335
631, 0.329157
632, 0.328984
633, 0.328814
634, 0.328648
635, 0.328486
636, 0.328328
637, 0.328174
638, 0.328023
639, 0.327876
640, 0.327732
641, 0.327592
642, 0.327455
643, 0.327321
644, 0.327189
645, 0.327061
646, 0.326935
647, 0.326811
648, 0.32669
649, 0.326571
650, 0.326454
651, 0.326339
652, 0.326226
653, 0.326115
654, 0.326005
655, 0.325897
656, 0.32579
657, 0.325685
658, 0.325582
659, 0.32548
660, 0.32538
661, 0.325281
662, 0.325185
663, 0.325089
664, 0.324996
665, 0.324905
666, 0.324816
667, 0.324729
668, 0.324644
669, 0.324561
670, 0.324481
671, 0.324403
672, 0.324329
673, 0.324256
674, 0.324187
675, 0.324121
676, 0.324057
677, 0.323997
678, 0.323939
679, 0.323885
680, 0.323833
681, 0.323785
682, 0.323739
683, 0.323697
684, 0.323657
685, 0.32362
686, 0.323585
687, 0.323553
688, 0.323523
689, 0.323495
690, 0.32347
691, 0.323446
692, 0.323424
693, 0.323403
694, 0.323383
695, 0.323365
696, 0.323347
697, 0.32333
698, 0.323313
699, 0.323296
700, 0.32328



