

lambda(nm), Y
400, 0.308553
402, 0.313004
404, 0.314745
406, 0.316776
408, 0.321649
410, 0.321125
412, 0.315106
414, 0.31298
416, 0.285225
418, 0.272729
420, 0.278905
422, 0.282595
424, 0.286408
426, 0.289711
428, 0.289371
430, 0.286526
432, 0.291715
434, 0.295375
436, 0.299394
438, 0.303663
440, 0.306852
442, 0.311375
444, 0.314108
446, 0.317332
448, 0.314888
450, 0.317956
452, 0.322054
454, 0.32571
456, 0.330107
458, 0.333517
460, 0.337582
462, 0.340423
464, 0.342511
466, 0.342927
468, 0.33059
470, 0.3045
472, 0.310049
474, 0.275696
476, 0.243569
478, 0.249543
480, 0.249531
482, 0.25386
484, 0.254585
486, 0.257669
488, 0.257858
490, 0.259882
492, 0.256321
494, 0.242365
496, 0.238635
498, 0.24069
500, 0.226138
502, 0.218519
504, 0.223225
506, 0.224935
508, 0.229455
510, 0.231385
512, 0.235175
514, 0.237566
516, 0.240227
518, 0.243796
520, 0.244672
522, 0.249009
524, 0.24902
526, 0.25076
528, 0.251657
530, 0.237048
532, 0.227181
534, 0.230248
536, 0.23262
538, 0.235303
540, 0.238056
542, 0.240267
544, 0.243114
546, 0.244797
548, 0.247877
550, 0.249504
552, 0.250248
554, 0.253051
556, 0.246862
558, 0.236692
560, 0.237703
562, 0.241373
564, 0.24318
566, 0.247774
568, 0.250182
570, 0.252591
572, 0.257223
574, 0.258968
576, 0.262112
578, 0.266742
580, 0.267729
582, 0.271137
584, 0.275862
586, 0.275927
588, 0.279066
590, 0.284103
592, 0.282244
594, 0.283092
596, 0.288019
598, 0.277392
600, 0.25372
602, 0.240652
604, 0.241524
606, 0.244902
608, 0.247925
610, 0.250945
612, 0.253137
614, 0.255902
616, 0.258929
618, 0.261263
620, 0.264782
622, 0.268899
624, 0.271273
626, 0.274065
628, 0.27867
630, 0.281808
632, 0.283739
634, 0.288006
636, 0.292567
638, 0.294453
640, 0.297236
642, 0.302751
644, 0.306354
646, 0.307612
648, 0.311737
650, 0.317566
652, 0.319447
654, 0.319936
656, 0.324896
658, 0.330229
660, 0.329255
662, 0.32715
664, 0.331569
666, 0.334501
668, 0.320269
670, 0.289426
672, 0.260623
674, 0.24863
676, 0.250993
678, 0.257012
680, 0.260878
682, 0.263203
684, 0.265624
686, 0.268178
688, 0.270454
690, 0.272835
692, 0.276071
694, 0.280038
696, 0.283523
698, 0.285809
700, 0.287934
702, 0.291242
704, 0.295099
706, 0.297732
708, 0.299266
710, 0.30182
712, 0.305891
714, 0.308946
716, 0.309275
718, 0.30927
720, 0.311965
722, 0.314898
724, 0.310877
726, 0.296487
728, 0.27782
730, 0.265362
732, 0.263645
734, 0.26785
736, 0.270687
738, 0.270431
740, 0.270678
742, 0.2733
744, 0.274009
746, 0.265974
748, 0.247219
750, 0.223632
752, 0.204696
754, 0.196452
756, 0.198049
758, 0.204
760, 0.209063
762, 0.211398
764, 0.212167
766, 0.213133
768, 0.214891
770, 0.216982
772, 0.219036
774, 0.221334
776, 0.224253
778, 0.227501
780, 0.230244
782, 0.23205
784, 0.233484
786, 0.235545
788, 0.238521
790, 0.241614
792, 0.243834
794, 0.245188
796, 0.246754
798, 0.249469
800, 0.252984
802, 0.255927
804, 0.257392
806, 0.258044
808, 0.259516
810, 0.26262
812, 0.266254
814, 0.268314
816, 0.267864
818, 0.26636
820, 0.266432
822, 0.269012
824, 0.271386
826, 0.268178
828, 0.254928
830, 0.231654
832, 0.203676
834, 0.178986
836, 0.163962
838, 0.160281
840, 0.164802
842, 0.172071
844, 0.17749
846, 0.179223
848, 0.178106
850, 0.176209
852, 0.175296
854, 0.176046
856, 0.178149
858, 0.18085
860, 0.183463
862, 0.18561
864, 0.187234
866, 0.188497
868, 0.189644
870, 0.190871
872, 0.19224
874, 0.193671
876, 0.19504
878, 0.1963
880, 0.197541
882, 0.198923
884, 0.20054
886, 0.202337
888, 0.20414
890, 0.205804
892, 0.207335
894, 0.2089
896, 0.210688
898, 0.212746
900, 0.214921
902, 0.216959
904, 0.218692
906, 0.220172
908, 0.221641
910, 0.223356
912, 0.225394
914, 0.227592
916, 0.229655
918, 0.231379
920, 0.2328
922, 0.234184
924, 0.235839
926, 0.237901
928, 0.240229
930, 0.242499
932, 0.244424
934, 0.24596
936, 0.24734
938, 0.248928
940, 0.25097
942, 0.253426
944, 0.25598
946, 0.258245
948, 0.260013
950, 0.261402
952, 0.262789
954, 0.264579
956, 0.266942
958, 0.26969
960, 0.272382
962, 0.274588
964, 0.276162
966, 0.277347
968, 0.278645
970, 0.280515
972, 0.283085
974, 0.286045
976, 0.288799
978, 0.290809
980, 0.291926
982, 0.292513
984, 0.293259
986, 0.294762
988, 0.29708
990, 0.299521
992, 0.300797
994, 0.299538
996, 0.294948
998, 0.287298
1000, 0.27801



