

lambda(nm), Y
740, 0.302515
740.067, 0.302414
740.133, 0.302314
740.2, 0.302214
740.267, 0.302114
740.333, 0.302014
740.4, 0.301915
740.467, 0.301816
740.533, 0.301717
740.6, 0.301619
740.667, 0.301521
740.733, 0.301424
740.8, 0.301327
740.867, 0.30123
740.933, 0.301134
741, 0.301038
741.067, 0.300943
741.133, 0.300848
741.2, 0.300754
741.267, 0.30066
741.333, 0.300567
741.4, 0.300475
741.467, 0.300382
741.533, 0.300291
741.6, 0.3002
741.667, 0.300109
741.733, 0.300019
741.8, 0.29993
741.867, 0.299842
741.933, 0.299753
742, 0.299666
742.067, 0.299579
742.133, 0.299493
742.2, 0.299408
742.267, 0.299323
742.333, 0.299239
742.4, 0.299156
742.467, 0.299073
742.533, 0.298991
742.6, 0.298909
742.667, 0.298829
742.733, 0.298749
742.8, 0.29867
742.867, 0.298592
742.933, 0.298514
743, 0.298437
743.067, 0.298361
743.133, 0.298286
743.2, 0.298211
743.267, 0.298137
743.333, 0.298064
743.4, 0.297992
743.467, 0.297921
743.533, 0.29785
743.6, 0.29778
743.667, 0.297711
743.733, 0.297643
743.8, 0.297575
743.867, 0.297509
743.933, 0.297443
744, 0.297378
744.067, 0.297314
744.133, 0.297251
744.2, 0.297188
744.267, 0.297127
744.333, 0.297066
744.4, 0.297006
744.467, 0.296947
744.533, 0.296889
744.6, 0.296831
744.667, 0.296775
744.733, 0.296719
744.8, 0.296665
744.867, 0.296611
744.933, 0.296557
745, 0.296505
745.067, 0.296454
745.133, 0.296403
745.2, 0.296354
745.267, 0.296305
745.333, 0.296257
745.4, 0.29621
745.467, 0.296164
745.533, 0.296118
745.6, 0.296074
745.667, 0.29603
745.733, 0.295987
745.8, 0.295946
745.867, 0.295905
745.933, 0.295864
746, 0.295825
746.067, 0.295787
746.133, 0.295749
746.2, 0.295712
746.267, 0.295676
746.333, 0.295641
746.4, 0.295607
746.467, 0.295574
746.533, 0.295541
746.6, 0.295509
746.667, 0.295478
746.733, 0.295448
746.8, 0.295419
746.867, 0.295391
746.933, 0.295363
747, 0.295337
747.067, 0.295311
747.133, 0.295286
747.2, 0.295262
747.267, 0.295238
747.333, 0.295216
747.4, 0.295194
747.467, 0.295173
747.533, 0.295153
747.6, 0.295134
