

lambda(nm), Y
400, 0.541412
402, 0.549327
404, 0.557319
406, 0.564953
408, 0.571316
410, 0.574311
412, 0.5638
414, 0.551266
416, 0.515552
418, 0.494463
420, 0.501021
422, 0.507981
424, 0.514048
426, 0.519221
428, 0.519206
430, 0.506322
432, 0.515301
434, 0.523184
436, 0.532627
438, 0.542913
440, 0.550683
442, 0.55455
444, 0.557982
446, 0.560369
448, 0.507033
450, 0.513143
452, 0.518334
454, 0.527112
456, 0.537846
458, 0.546126
460, 0.551431
462, 0.56079
464, 0.571145
466, 0.571741
468, 0.56474
470, 0.552476
472, 0.554674
474, 0.537365
476, 0.519156
478, 0.528517
480, 0.534808
482, 0.546586
484, 0.549849
486, 0.555353
488, 0.563879
490, 0.55396
492, 0.547643
494, 0.451502
496, 0.443227
498, 0.444279
500, 0.423781
502, 0.407055
504, 0.417746
506, 0.423067
508, 0.427855
510, 0.435969
512, 0.439199
514, 0.447601
516, 0.45171
518, 0.457682
520, 0.463965
522, 0.466273
524, 0.473756
526, 0.470492
528, 0.47505
530, 0.439396
532, 0.409431
534, 0.41986
536, 0.422164
538, 0.430311
540, 0.432824
542, 0.440509
544, 0.443083
546, 0.450226
548, 0.451293
550, 0.457647
552, 0.455409
554, 0.457552
556, 0.437634
558, 0.389194
560, 0.388462
562, 0.396461
564, 0.3999
566, 0.407978
568, 0.410338
570, 0.419036
572, 0.421949
574, 0.429516
576, 0.432977
578, 0.439663
580, 0.444309
582, 0.448729
584, 0.455288
586, 0.45629
588, 0.464682
590, 0.461989
592, 0.469175
594, 0.463922
596, 0.459886
598, 0.448532
600, 0.366056
602, 0.318073
604, 0.330333
606, 0.330175
608, 0.3359
610, 0.339764
612, 0.340706
614, 0.348297
616, 0.350383
618, 0.354876
620, 0.358832
622, 0.362434
624, 0.368146
626, 0.371015
628, 0.376407
630, 0.380563
632, 0.384145
634, 0.390067
636, 0.39304
638, 0.398213
640, 0.403347
642, 0.406253
644, 0.412732
646, 0.416669
648, 0.420413
650, 0.42726
652, 0.429745
654, 0.434402
656, 0.440803
658, 0.441687
660, 0.446909
662, 0.451935
664, 0.449462
666, 0.453638
668, 0.453128
670, 0.427478
672, 0.4012
674, 0.398212
676, 0.405245
678, 0.410289
680, 0.414727
682, 0.418985
684, 0.423707
686, 0.428989
688, 0.434075
690, 0.439298
692, 0.443536
694, 0.447659
696, 0.453836
698, 0.459104
700, 0.462761
702, 0.468826
704, 0.474744
706, 0.477631
708, 0.482816
710, 0.489734
712, 0.492262
714, 0.495277
716, 0.502696
718, 0.505238
720, 0.503115
722, 0.507768
724, 0.509162
726, 0.485684
728, 0.448052
730, 0.427953
732, 0.430713
734, 0.438127
736, 0.442478
738, 0.446704
740, 0.449367
742, 0.450742
744, 0.455738
746, 0.46046
748, 0.454584
750, 0.44051
752, 0.432165
754, 0.434831
756, 0.441484
758, 0.446739
760, 0.451443
762, 0.456215
764, 0.460418
766, 0.465159
768, 0.47115
770, 0.476569
772, 0.480559
774, 0.485041
776, 0.490877
778, 0.496382
780, 0.500997
782, 0.506292
784, 0.512442
786, 0.517728
788, 0.522099
790, 0.527382
792, 0.533598
794, 0.53884
796, 0.543125
798, 0.548562
800, 0.555233
802, 0.560757
804, 0.564742
806, 0.56976
808, 0.576588
810, 0.582362
812, 0.585577
814, 0.589184
816, 0.595541
818, 0.601503
820, 0.602989
822, 0.602398
824, 0.605477
826, 0.60996
828, 0.603256
830, 0.576004
832, 0.535786
834, 0.502851
836, 0.491659
838, 0.499094
840, 0.510948
842, 0.516875
844, 0.51726
846, 0.518065
848, 0.522824
850, 0.530301
852, 0.537407
854, 0.542311
856, 0.545208
858, 0.547581
860, 0.551085
862, 0.556426
864, 0.562844
866, 0.568905
868, 0.57398
870, 0.578703
872, 0.5839
874, 0.589455
876, 0.594621
878, 0.599223
880, 0.60399
882, 0.609555
884, 0.61557
886, 0.621193
888, 0.626258
890, 0.631498
892, 0.637522
894, 0.643982
896, 0.650056
898, 0.655578
900, 0.661269
902, 0.667752
904, 0.674673
906, 0.681112
908, 0.686759
910, 0.692339
912, 0.698716
914, 0.705812
916, 0.7127
918, 0.718767
920, 0.724485
922, 0.730847
924, 0.738143
926, 0.745578
928, 0.752213
930, 0.758101
932, 0.764258
934, 0.771485
936, 0.779419
938, 0.78692
940, 0.793373
942, 0.799411
944, 0.806226
946, 0.814222
948, 0.822538
950, 0.829971
952, 0.836312
954, 0.8426
956, 0.850013
958, 0.858577
960, 0.867099
962, 0.874425
964, 0.88068
966, 0.887168
968, 0.894996
970, 0.903864
972, 0.91231
974, 0.919203
976, 0.92494
978, 0.931062
980, 0.93862
982, 0.946971
984, 0.954327
986, 0.959607
988, 0.963656
990, 0.968294
992, 0.973749
994, 0.97691
996, 0.972582
998, 0.957479
1000, 0.934036



