

lambda(nm), Y
400, 0.430842
401, 0.429625
402, 0.428428
403, 0.427176
404, 0.42582
405, 0.424376
406, 0.422919
407, 0.421525
408, 0.420218
409, 0.418961
410, 0.417695
411, 0.416393
412, 0.415084
413, 0.413834
414, 0.412689
415, 0.411635
416, 0.410604
417, 0.409518
418, 0.408345
419, 0.407116
420, 0.405904
421, 0.404771
422, 0.403724
423, 0.402722
424, 0.401708
425, 0.400661
426, 0.399614
427, 0.398641
428, 0.397805
429, 0.397118
430, 0.396536
431, 0.395983
432, 0.395402
433, 0.394786
434, 0.394175
435, 0.393623
436, 0.393157
437, 0.392752
438, 0.392343
439, 0.391862
440, 0.391277
441, 0.39061
442, 0.389924
443, 0.389282
444, 0.388715
445, 0.388207
446, 0.387705
447, 0.387158
448, 0.386548
449, 0.385904
450, 0.385287
451, 0.384759
452, 0.384348
453, 0.384036
454, 0.383769
455, 0.383488
456, 0.383157
457, 0.382785
458, 0.382414
459, 0.382096
460, 0.381865
461, 0.381717
462, 0.381606
463, 0.381469
464, 0.381253
465, 0.380937
466, 0.38054
467, 0.380106
468, 0.379686
469, 0.379311
470, 0.378975
471, 0.378643
472, 0.378263
473, 0.377794
474, 0.37722
475, 0.37656
476, 0.375859
477, 0.37517
478, 0.374536
479, 0.373971
480, 0.37346
481, 0.372967
482, 0.372446
483, 0.371865
484, 0.371209
485, 0.370494
486, 0.369755
487, 0.369037
488, 0.368386
489, 0.36783
490, 0.367378
491, 0.36701
492, 0.366684
493, 0.366339
494, 0.365904
495, 0.365311
496, 0.364507
497, 0.363462
498, 0.362179
499, 0.360701
500, 0.359098
501, 0.357465
502, 0.355905
503, 0.354508
504, 0.353336
505, 0.352417
506, 0.351735
507, 0.351244
508, 0.350877
509, 0.350564
510, 0.350246
511, 0.349886
512, 0.349474
513, 0.349023
514, 0.348556
515, 0.348101
516, 0.347676
517, 0.347288
518, 0.346927
519, 0.346576
520, 0.346212
521, 0.345819
522, 0.34539
523, 0.344929
524, 0.344448
525, 0.343966
526, 0.343501
527, 0.343061
528, 0.34265
529, 0.342261
530, 0.341881
531, 0.341497
532, 0.341099
533, 0.340683
534, 0.340252
535, 0.339813
536, 0.33938
537, 0.338963
538, 0.338568
539, 0.338198
540, 0.337848
541, 0.337509
542, 0.337174
543, 0.336834
544, 0.336488
545, 0.336136
546, 0.335783
547, 0.335439
548, 0.335111
549, 0.334804
550, 0.334521
551, 0.33426
552, 0.334015
553, 0.333779
554, 0.333548
555, 0.333317
556, 0.333086
557, 0.332858
558, 0.33264
559, 0.332437
560, 0.332256
561, 0.332099
562, 0.331965
563, 0.331851
564, 0.331749
565, 0.331652
566, 0.331551
567, 0.331443
568, 0.331324
569, 0.331197
570, 0.331063
571, 0.330929
572, 0.3308
573, 0.330679
574, 0.330568
575, 0.330465
576, 0.330368
577, 0.330269
578, 0.330165
579, 0.330051
580, 0.329924
581, 0.329783
582, 0.32963
583, 0.32947
584, 0.329306
585, 0.329143
586, 0.328983
587, 0.328826
588, 0.328672
589, 0.328518
590, 0.328361
591, 0.328196
592, 0.328021
593, 0.327835
594, 0.327638
595, 0.327435
596, 0.327228
597, 0.327023
598, 0.326825
599, 0.326638
600, 0.326463
601, 0.326301
602, 0.326148
603, 0.326002
604, 0.325857
605, 0.325709
606, 0.325554
607, 0.32539
608, 0.325215
609, 0.325032
610, 0.324843
611, 0.324651
612, 0.324461
613, 0.324275
614, 0.324096
615, 0.323926
616, 0.323762
617, 0.323604
618, 0.323448
619, 0.323292
620, 0.323133
621, 0.322969
622, 0.322799
623, 0.322624
624, 0.322445
625, 0.322264
626, 0.322086
627, 0.321913
628, 0.321746
629, 0.321589
630, 0.32144
631, 0.3213
632, 0.321165
633, 0.321035
634, 0.320905
635, 0.320774
636, 0.320639
637, 0.320499
638, 0.320355
639, 0.320208
640, 0.320059
641, 0.319912
642, 0.319769
643, 0.319633
644, 0.319506
645, 0.319391
646, 0.319288
647, 0.319197
648, 0.319118
649, 0.31905
650, 0.318989
651, 0.318936
652, 0.318887
653, 0.318843
654, 0.318801
655, 0.318762
656, 0.318725
657, 0.318691
658, 0.31866
659, 0.318633
660, 0.318609
661, 0.31859
662, 0.318574
663, 0.318562
664, 0.318552
665, 0.318544
666, 0.318537
667, 0.31853
668, 0.318523
669, 0.318515
670, 0.318507
671, 0.318498
672, 0.31849
673, 0.318481
674, 0.318474
675, 0.318468
676, 0.318464
677, 0.318461
678, 0.318459
679, 0.318458
680, 0.318457
681, 0.318456
682, 0.318454
683, 0.31845
684, 0.318445
685, 0.318439
686, 0.31843
687, 0.318421
688, 0.318412
689, 0.318402
690, 0.318393
691, 0.318385
692, 0.318377
693, 0.31837
694, 0.318362
695, 0.318353
696, 0.318342
697, 0.318327
698, 0.318307
699, 0.318282
700, 0.318252



