

lambda(nm), Y
400, 0.432764
401, 0.435652
402, 0.437935
403, 0.441122
404, 0.443234
405, 0.446151
406, 0.448519
407, 0.450358
408, 0.45307
409, 0.453268
410, 0.454767
411, 0.453006
412, 0.44343
413, 0.431986
414, 0.432931
415, 0.433148
416, 0.405084
417, 0.385221
418, 0.389004
419, 0.391784
420, 0.394856
421, 0.396941
422, 0.400375
423, 0.40235
424, 0.404212
425, 0.407679
426, 0.40601
427, 0.409153
428, 0.403017
429, 0.386554
430, 0.385717
431, 0.390215
432, 0.393585
433, 0.398181
434, 0.40042
435, 0.40537
436, 0.408371
437, 0.411422
438, 0.416602
439, 0.418354
440, 0.423026
441, 0.426997
442, 0.428797
443, 0.434493
444, 0.436618
445, 0.439288
446, 0.444555
447, 0.442891
448, 0.443423
449, 0.448079
450, 0.449802
451, 0.454873
452, 0.459254
453, 0.460638
454, 0.466592
455, 0.470123
456, 0.471597
457, 0.478087
458, 0.48083
459, 0.482244
460, 0.489013
461, 0.491028
462, 0.491802
463, 0.49856
464, 0.499726
465, 0.49837
466, 0.504219
467, 0.503416
468, 0.491727
469, 0.482915
470, 0.476583
471, 0.472517
472, 0.476453
473, 0.469784
474, 0.435033
475, 0.39716
476, 0.386197
477, 0.393343
478, 0.397403
479, 0.397523
480, 0.400755
481, 0.404898
482, 0.40633
483, 0.408292
484, 0.412486
485, 0.414932
486, 0.415753
487, 0.419149
488, 0.422753
489, 0.422818
490, 0.423905
491, 0.427879
492, 0.426535
493, 0.417577
494, 0.410337
495, 0.409303
496, 0.410463
497, 0.412592
498, 0.414983
499, 0.411578
500, 0.40135
501, 0.393617
502, 0.394086
503, 0.397878
504, 0.400345
505, 0.402596
506, 0.405502
507, 0.408064
508, 0.410625
509, 0.413689
510, 0.416421
511, 0.41889
512, 0.422003
513, 0.425148
514, 0.427591
515, 0.430364
516, 0.433867
517, 0.436726
518, 0.438889
519, 0.441933
520, 0.445507
521, 0.447838
522, 0.449618
523, 0.452754
524, 0.456114
525, 0.45736
526, 0.45785
527, 0.460357
528, 0.462504
529, 0.458166
530, 0.446594
531, 0.435521
532, 0.432691
533, 0.437192
534, 0.44219
535, 0.444295
536, 0.446169
537, 0.450177
538, 0.454284
539, 0.456329
540, 0.458192
541, 0.462146
542, 0.466301
543, 0.467995
544, 0.469073
545, 0.472721
546, 0.47716
547, 0.478378
548, 0.477779
549, 0.480236
550, 0.484751
551, 0.484942
552, 0.480408
553, 0.47885
554, 0.482046
555, 0.477742
556, 0.454161
557, 0.418538
558, 0.391852
559, 0.385554
560, 0.391627
561, 0.396738
562, 0.397868
563, 0.399793
564, 0.40394
565, 0.407038
566, 0.4082
567, 0.410422
568, 0.414754
569, 0.418276
570, 0.419331
571, 0.420561
572, 0.424432
573, 0.428991
574, 0.431096
575, 0.431665
576, 0.434181
577, 0.438912
578, 0.442373
579, 0.442982
580, 0.443753
581, 0.447572
582, 0.452483
583, 0.454531
584, 0.453944
585, 0.455023
586, 0.459622
587, 0.464026
588, 0.464227
589, 0.462032
590, 0.4628
591, 0.467574
592, 0.470847
593, 0.46779
594, 0.461375
595, 0.459095
596, 0.46229
597, 0.461359
598, 0.443883
599, 0.407644
600, 0.364626
601, 0.331872
602, 0.318507
603, 0.320902
604, 0.32857
605, 0.333445
606, 0.334225
607, 0.33401
608, 0.335589
609, 0.339028
610, 0.342607
611, 0.345002
612, 0.3464
613, 0.347916
614, 0.350303
615, 0.35328
616, 0.356011
617, 0.358101
618, 0.359998
619, 0.362403
620, 0.365374
621, 0.368217
622, 0.370328
623, 0.371984
624, 0.37409
625, 0.377109
626, 0.380453
627, 0.383116
628, 0.384864
629, 0.386561
630, 0.389187
631, 0.392664
632, 0.395892
633, 0.398012
634, 0.399445
635, 0.401473
636, 0.404771
637, 0.408583
638, 0.411513
639, 0.413108
640, 0.414433
641, 0.416936
642, 0.420814
643, 0.424705
644, 0.427128
645, 0.428131
646, 0.429333
647, 0.432225
648, 0.436498
649, 0.44024
650, 0.441894
651, 0.441974
652, 0.442668
653, 0.445623
654, 0.450113
655, 0.453563
656, 0.454069
657, 0.452449
658, 0.451665
659, 0.453949
660, 0.458331
661, 0.46111
662, 0.459166
663, 0.453175
664, 0.44751
665, 0.44635
666, 0.448955
667, 0.448268
668, 0.434641
669, 0.402502
670, 0.355191
671, 0.304291
672, 0.263646
673, 0.241977
674, 0.238894
675, 0.246528
676, 0.255158
677, 0.258785
678, 0.257255
679, 0.254303
680, 0.253689
681, 0.256422
682, 0.260684
683, 0.263857
684, 0.264697
685, 0.26401
686, 0.26363
687, 0.264822
688, 0.26742
689, 0.270235
690, 0.272179
691, 0.273094
692, 0.27369
693, 0.274791
694, 0.276612
695, 0.278656
696, 0.280246
697, 0.281165
698, 0.281854
699, 0.283021
700, 0.28502



