

lambda(nm), Y
400, 0.456715
401, 0.457624
402, 0.461774
403, 0.463478
404, 0.466533
405, 0.469611
406, 0.471218
407, 0.475243
408, 0.476032
409, 0.479443
410, 0.480111
411, 0.480888
412, 0.476624
413, 0.467353
414, 0.46895
415, 0.465543
416, 0.446292
417, 0.430949
418, 0.432846
419, 0.436507
420, 0.435944
421, 0.439296
422, 0.44042
423, 0.442344
424, 0.445393
425, 0.445895
426, 0.449136
427, 0.450764
428, 0.451
429, 0.451184
430, 0.451097
431, 0.455795
432, 0.458903
433, 0.46085
434, 0.465905
435, 0.467908
436, 0.471182
437, 0.475874
438, 0.477279
439, 0.481586
440, 0.485457
441, 0.486665
442, 0.491461
443, 0.494296
444, 0.494746
445, 0.499091
446, 0.499359
447, 0.490391
448, 0.48144
449, 0.480672
450, 0.486146
451, 0.49005
452, 0.491852
453, 0.496363
454, 0.500774
455, 0.503206
456, 0.507543
457, 0.511939
458, 0.514371
459, 0.518505
460, 0.523119
461, 0.525325
462, 0.528643
463, 0.533316
464, 0.534943
465, 0.536057
466, 0.539929
467, 0.539771
468, 0.530743
469, 0.519637
470, 0.513163
471, 0.512339
472, 0.515176
473, 0.509333
474, 0.481918
475, 0.448397
476, 0.43788
477, 0.44754
478, 0.453031
479, 0.452284
480, 0.4569
481, 0.462991
482, 0.464493
483, 0.467518
484, 0.473165
485, 0.475017
486, 0.475923
487, 0.481121
488, 0.48467
489, 0.483017
490, 0.48413
491, 0.488577
492, 0.48287
493, 0.462487
494, 0.442019
495, 0.434901
496, 0.438542
497, 0.443451
498, 0.444324
499, 0.439887
500, 0.431895
501, 0.425958
502, 0.426525
503, 0.431111
504, 0.434346
505, 0.435567
506, 0.437597
507, 0.440849
508, 0.443553
509, 0.445544
510, 0.447865
511, 0.450452
512, 0.452779
513, 0.455083
514, 0.457606
515, 0.460123
516, 0.462582
517, 0.465035
518, 0.467357
519, 0.469728
520, 0.472351
521, 0.474681
522, 0.47645
523, 0.478613
524, 0.48133
525, 0.482893
526, 0.483082
527, 0.484372
528, 0.486242
529, 0.482617
530, 0.470625
531, 0.457995
532, 0.454654
533, 0.459713
534, 0.46425
535, 0.464846
536, 0.466089
537, 0.470449
538, 0.474402
539, 0.475874
540, 0.477822
541, 0.481959
542, 0.485406
543, 0.486496
544, 0.488222
545, 0.4926
546, 0.496611
547, 0.497607
548, 0.498367
549, 0.502232
550, 0.506779
551, 0.507677
552, 0.506431
553, 0.508252
554, 0.512671
555, 0.512383
556, 0.503209
557, 0.49056
558, 0.483148
559, 0.483401
560, 0.487205
561, 0.490746
562, 0.493767
563, 0.496929
564, 0.499812
565, 0.502407
566, 0.50582
567, 0.510175
568, 0.513705
569, 0.515423
570, 0.517124
571, 0.520921
572, 0.525848
573, 0.529109
574, 0.530393
575, 0.532531
576, 0.537207
577, 0.542192
578, 0.544547
579, 0.545144
580, 0.54759
581, 0.552873
582, 0.557634
583, 0.558905
584, 0.558603
585, 0.561066
586, 0.566777
587, 0.571239
588, 0.57103
589, 0.568889
590, 0.570398
591, 0.576164
592, 0.580089
593, 0.576908
594, 0.569695
595, 0.566883
596, 0.570894
597, 0.571718
598, 0.554563
599, 0.514997
600, 0.46587
601, 0.428133
602, 0.414148
603, 0.419349
604, 0.429098
605, 0.432571
606, 0.430091
607, 0.428736
608, 0.433002
609, 0.440574
610, 0.446095
611, 0.447279
612, 0.446581
613, 0.447625
614, 0.451221
615, 0.455249
616, 0.457743
617, 0.45915
618, 0.461379
619, 0.465249
620, 0.469526
621, 0.472527
622, 0.474167
623, 0.475986
624, 0.479256
625, 0.483472
626, 0.486997
627, 0.489021
628, 0.490522
629, 0.493123
630, 0.497199
631, 0.501418
632, 0.504259
633, 0.50576
634, 0.50752
635, 0.510921
636, 0.515549
637, 0.519593
638, 0.521822
639, 0.522987
640, 0.52507
641, 0.529154
642, 0.534179
643, 0.537983
644, 0.539587
645, 0.540319
646, 0.54252
647, 0.547105
648, 0.552491
649, 0.5561
650, 0.556998
651, 0.556984
652, 0.558921
653, 0.563843
654, 0.56973
655, 0.573291
656, 0.573181
657, 0.57153
658, 0.572124
659, 0.576758
660, 0.583176
661, 0.586757
662, 0.584699
663, 0.578947
664, 0.574937
665, 0.576758
666, 0.582622
667, 0.584667
668, 0.573827
669, 0.546419
670, 0.507549
671, 0.468681
672, 0.441048
673, 0.429469
674, 0.430695
675, 0.436873
676, 0.441199
677, 0.441662
678, 0.44072
679, 0.441976
680, 0.446816
681, 0.453512
682, 0.458979
683, 0.46135
684, 0.461229
685, 0.460838
686, 0.462068
687, 0.465139
688, 0.46882
689, 0.471782
690, 0.473788
691, 0.475733
692, 0.478651
693, 0.482664
694, 0.486817
695, 0.489919
696, 0.491617
697, 0.492757
698, 0.494707
699, 0.498206
700, 0.502704



