

lambda(m), Y
4e-07, 0.453359
4.01e-07, 0.455573
4.02e-07, 0.457735
4.03e-07, 0.461154
4.04e-07, 0.462194
4.05e-07, 0.466395
4.06e-07, 0.466991
4.07e-07, 0.470704
4.08e-07, 0.472007
4.09e-07, 0.47368
4.1e-07, 0.475849
4.11e-07, 0.474589
4.12e-07, 0.471458
4.13e-07, 0.460885
4.14e-07, 0.461586
4.15e-07, 0.45934
4.16e-07, 0.439172
4.17e-07, 0.425964
4.18e-07, 0.425836
4.19e-07, 0.429445
4.2e-07, 0.428819
4.21e-07, 0.430034
4.22e-07, 0.432419
4.23e-07, 0.431936
4.24e-07, 0.435038
4.25e-07, 0.435212
4.26e-07, 0.435841
4.27e-07, 0.438556
4.28e-07, 0.435194
4.29e-07, 0.432159
4.3e-07, 0.431548
4.31e-07, 0.434478
4.32e-07, 0.438628
4.33e-07, 0.439318
4.34e-07, 0.443266
4.35e-07, 0.446215
4.36e-07, 0.447358
4.37e-07, 0.452205
4.38e-07, 0.453553
4.39e-07, 0.455822
4.4e-07, 0.460585
4.41e-07, 0.460649
4.42e-07, 0.464132
4.43e-07, 0.467831
4.44e-07, 0.466375
4.45e-07, 0.470185
4.46e-07, 0.470635
4.47e-07, 0.458879
4.48e-07, 0.449527
4.49e-07, 0.449024
4.5e-07, 0.453186
4.51e-07, 0.457787
4.52e-07, 0.459257
4.53e-07, 0.462451
4.54e-07, 0.46765
4.55e-07, 0.469388
4.56e-07, 0.472524
4.57e-07, 0.477648
4.58e-07, 0.47917
4.59e-07, 0.482121
4.6e-07, 0.487313
4.61e-07, 0.488461
4.62e-07, 0.490348
4.63e-07, 0.495281
4.64e-07, 0.495623
4.65e-07, 0.494375
4.66e-07, 0.497602
4.67e-07, 0.494897
4.68e-07, 0.476903
4.69e-07, 0.454759
4.7e-07, 0.44455
4.71e-07, 0.447113
4.72e-07, 0.451291
4.73e-07, 0.44619
4.74e-07, 0.428342
4.75e-07, 0.407501
4.76e-07, 0.400096
4.77e-07, 0.406496
4.78e-07, 0.410777
4.79e-07, 0.40917
4.8e-07, 0.411392
4.81e-07, 0.416035
4.82e-07, 0.416275
4.83e-07, 0.417045
4.84e-07, 0.421244
4.85e-07, 0.422145
4.86e-07, 0.421182
4.87e-07, 0.424734
4.88e-07, 0.427338
4.89e-07, 0.424594
4.9e-07, 0.424762
4.91e-07, 0.42845
4.92e-07, 0.423393
4.93e-07, 0.408862
4.94e-07, 0.397281
4.95e-07, 0.392477
4.96e-07, 0.390518
4.97e-07, 0.391677
4.98e-07, 0.392127
4.99e-07, 0.380108
5e-07, 0.355401
5.01e-07, 0.335369
5.02e-07, 0.331681
5.03e-07, 0.336941
