

lambda(nm), Y
400, 0.491544
401, 0.49004
402, 0.488541
403, 0.487044
404, 0.485547
405, 0.484048
406, 0.482547
407, 0.481043
408, 0.479537
409, 0.478032
410, 0.476528
411, 0.475029
412, 0.473537
413, 0.472057
414, 0.47059
415, 0.469141
416, 0.467712
417, 0.466305
418, 0.464923
419, 0.463567
420, 0.462236
421, 0.460933
422, 0.459654
423, 0.458401
424, 0.457169
425, 0.455959
426, 0.454765
427, 0.453587
428, 0.452421
429, 0.451263
430, 0.450112
431, 0.448964
432, 0.447817
433, 0.44667
434, 0.445522
435, 0.44437
436, 0.443217
437, 0.44206
438, 0.440903
439, 0.439745
440, 0.43859
441, 0.437438
442, 0.436294
443, 0.435159
444, 0.434036
445, 0.432929
446, 0.431839
447, 0.430771
448, 0.429725
449, 0.428703
450, 0.427708
451, 0.426741
452, 0.425801
453, 0.424889
454, 0.424005
455, 0.423147
456, 0.422314
457, 0.421504
458, 0.420715
459, 0.419944
460, 0.419188
461, 0.418444
462, 0.41771
463, 0.416981
464, 0.416256
465, 0.415531
466, 0.414803
467, 0.414069
468, 0.413329
469, 0.41258
470, 0.411821
471, 0.411051
472, 0.41027
473, 0.409477
474, 0.408674
475, 0.407861
476, 0.40704
477, 0.406212
478, 0.40538
479, 0.404545
480, 0.40371
481, 0.402878
482, 0.402052
483, 0.401235
484, 0.400428
485, 0.399635
486, 0.398859
487, 0.398101
488, 0.397364
489, 0.396649
490, 0.395958
491, 0.395292
492, 0.394652
493, 0.394038
494, 0.39345
495, 0.392889
496, 0.392352
497, 0.39184
498, 0.391351
499, 0.390883
500, 0.390435
501, 0.390004
502, 0.389589
503, 0.389187
504, 0.388795
505, 0.388411
506, 0.388032
507, 0.387657
508, 0.387282
509, 0.386906
510, 0.386526
511, 0.38614
512, 0.385747
513, 0.385345
514, 0.384932
515, 0.384508
516, 0.384072
517, 0.383623
518, 0.383161
519, 0.382686
520, 0.382198
521, 0.381697
522, 0.381185
523, 0.380661
524, 0.380128
525, 0.379585
526, 0.379035
527, 0.378479
528, 0.377918
529, 0.377354
530, 0.376789
531, 0.376224
532, 0.375661
533, 0.375102
534, 0.374547
535, 0.373999
536, 0.373459
537, 0.372928
538, 0.372408
539, 0.371899
540, 0.371402
541, 0.370919
542, 0.37045
543, 0.369996
544, 0.369557
545, 0.369132
546, 0.368724
547, 0.36833
548, 0.367952
549, 0.367589
550, 0.367241
551, 0.366907
552, 0.366587
553, 0.366281
554, 0.365987
555, 0.365704
556, 0.365433
557, 0.365173
558, 0.364921
559, 0.364679
560, 0.364445
561, 0.364217
562, 0.363996
563, 0.36378
564, 0.36357
565, 0.363363
566, 0.363159
567, 0.362958
568, 0.362759
569, 0.362561
570, 0.362364
571, 0.362168
572, 0.361971
573, 0.361774
574, 0.361576
575, 0.361377
576, 0.361176
577, 0.360973
578, 0.360769
579, 0.360563
580, 0.360354
581, 0.360143
582, 0.35993
583, 0.359714
584, 0.359495
585, 0.359274
586, 0.359051
587, 0.358825
588, 0.358596
589, 0.358365
590, 0.358131
591, 0.357895
592, 0.357656
593, 0.357415
594, 0.357172
595, 0.356926
596, 0.356679
597, 0.356429
598, 0.356176
599, 0.355922
600, 0.355666
601, 0.355408
602, 0.355148
603, 0.354886
604, 0.354623
605, 0.354358
606, 0.354091
607, 0.353823
608, 0.353554
609, 0.353283
610, 0.353012
611, 0.352739
612, 0.352466
613, 0.352192
614, 0.351918
615, 0.351644
616, 0.351369
617, 0.351095
618, 0.35082
619, 0.350547
620, 0.350274
621, 0.350002
622, 0.349732
623, 0.349462
624, 0.349195
625, 0.348929
626, 0.348666
627, 0.348405
628, 0.348146
629, 0.34789
630, 0.347638
631, 0.347388
632, 0.347142
633, 0.3469
634, 0.346662
635, 0.346427
636, 0.346197
637, 0.345971
638, 0.345749
639, 0.345533
640, 0.34532
641, 0.345113
642, 0.34491
643, 0.344713
644, 0.34452
645, 0.344332
646, 0.344149
647, 0.343971
648, 0.343798
649, 0.34363
650, 0.343466
651, 0.343307
652, 0.343153
653, 0.343003
654, 0.342858
655, 0.342717
656, 0.34258
657, 0.342447
658, 0.342318
659, 0.342192
660, 0.34207
661, 0.341952
662, 0.341836
663, 0.341723
664, 0.341613
665, 0.341506
666, 0.341401
667, 0.341298
668, 0.341197
669, 0.341098
670, 0.341
671, 0.340904
672, 0.340809
673, 0.340716
674, 0.340623
675, 0.340532
676, 0.340441
677, 0.34035
678, 0.34026
679, 0.340171
680, 0.340081
681, 0.339992
682, 0.339903
683, 0.339814
684, 0.339725
685, 0.339635
686, 0.339546
687, 0.339456
688, 0.339366
689, 0.339275
690, 0.339185
691, 0.339094
692, 0.339002
693, 0.33891
694, 0.338818
695, 0.338726
696, 0.338633
697, 0.33854
698, 0.338446
699, 0.338353
700, 0.338258


