

lambda(nm), Y
400, 0.460898
401, 0.459029
402, 0.457168
403, 0.455319
404, 0.453484
405, 0.451666
406, 0.449868
407, 0.448093
408, 0.446343
409, 0.444619
410, 0.442922
411, 0.44125
412, 0.439604
413, 0.437983
414, 0.436384
415, 0.434809
416, 0.433257
417, 0.431729
418, 0.430227
419, 0.428753
420, 0.427312
421, 0.425907
422, 0.424544
423, 0.423226
424, 0.421958
425, 0.420743
426, 0.419584
427, 0.418481
428, 0.417436
429, 0.416445
430, 0.415506
431, 0.414614
432, 0.413763
433, 0.412945
434, 0.412155
435, 0.411383
436, 0.410623
437, 0.409869
438, 0.409114
439, 0.408356
440, 0.40759
441, 0.406816
442, 0.406035
443, 0.405248
444, 0.404459
445, 0.403673
446, 0.402894
447, 0.402129
448, 0.401385
449, 0.400665
450, 0.399976
451, 0.399322
452, 0.398706
453, 0.398129
454, 0.397592
455, 0.397095
456, 0.396633
457, 0.396204
458, 0.395803
459, 0.395424
460, 0.395061
461, 0.394706
462, 0.394353
463, 0.393994
464, 0.393624
465, 0.393236
466, 0.392826
467, 0.392389
468, 0.391922
469, 0.391423
470, 0.390891
471, 0.390327
472, 0.38973
473, 0.389104
474, 0.38845
475, 0.387773
476, 0.387075
477, 0.38636
478, 0.385634
479, 0.384899
480, 0.384161
481, 0.383424
482, 0.382691
483, 0.381965
484, 0.381251
485, 0.38055
486, 0.379865
487, 0.379198
488, 0.37855
489, 0.377923
490, 0.377317
491, 0.376732
492, 0.376169
493, 0.375627
494, 0.375106
495, 0.374604
496, 0.374122
497, 0.373656
498, 0.373207
499, 0.372771
500, 0.372348
501, 0.371936
502, 0.371531
503, 0.371133
504, 0.370738
505, 0.370344
506, 0.36995
507, 0.369552
508, 0.369149
509, 0.368738
510, 0.368318
511, 0.367886
512, 0.367442
513, 0.366983
514, 0.366509
515, 0.366019
516, 0.365512
517, 0.364988
518, 0.364448
519, 0.363891
520, 0.363319
521, 0.362733
522, 0.362133
523, 0.361522
524, 0.360901
525, 0.360272
526, 0.359636
527, 0.358997
528, 0.358356
529, 0.357714
530, 0.357075
531, 0.35644
532, 0.355811
533, 0.35519
534, 0.354578
535, 0.353978
536, 0.353389
537, 0.352814
538, 0.352252
539, 0.351706
540, 0.351175
541, 0.35066
542, 0.350161
543, 0.349678
544, 0.349212
545, 0.348761
546, 0.348327
547, 0.347908
548, 0.347505
549, 0.347116
550, 0.346742
551, 0.346382
552, 0.346036
553, 0.345703
554, 0.345383
555, 0.345074
556, 0.344778
557, 0.344492
558, 0.344217
559, 0.343952
560, 0.343697
561, 0.34345
562, 0.343211
563, 0.34298
564, 0.342756
565, 0.342538
566, 0.342325
567, 0.342117
568, 0.341912
569, 0.34171
570, 0.34151
571, 0.341312
572, 0.341113
573, 0.340915
574, 0.340714
575, 0.340512
576, 0.340307
577, 0.340099
578, 0.339887
579, 0.33967
580, 0.339448
581, 0.339221
582, 0.338988
583, 0.33875
584, 0.338506
585, 0.338256
586, 0.338001
587, 0.337741
588, 0.337475
589, 0.337205
590, 0.336931
591, 0.336654
592, 0.336373
593, 0.33609
594, 0.335805
595, 0.33552
596, 0.335233
597, 0.334947
598, 0.334662
599, 0.334379
600, 0.334097
601, 0.333818
602, 0.333542
603, 0.333269
604, 0.333001
605, 0.332736
606, 0.332476
607, 0.33222
608, 0.331969
609, 0.331722
610, 0.33148
611, 0.331243
612, 0.33101
613, 0.330782
614, 0.330558
615, 0.330337
616, 0.330121
617, 0.329908
618, 0.329699
619, 0.329493
620, 0.32929
621, 0.32909
622, 0.328893
623, 0.328698
624, 0.328506
625, 0.328316
626, 0.328129
627, 0.327944
628, 0.327762
629, 0.327582
630, 0.327404
631, 0.327229
632, 0.327057
633, 0.326889
634, 0.326723
635, 0.32656
636, 0.326401
637, 0.326246
638, 0.326095
639, 0.325948
640, 0.325805
641, 0.325666
642, 0.325532
643, 0.325403
644, 0.325278
645, 0.325157
646, 0.325041
647, 0.32493
648, 0.324824
649, 0.324721
650, 0.324623
651, 0.324529
652, 0.324439
653, 0.324353
654, 0.32427
655, 0.32419
656, 0.324112
657, 0.324037
658, 0.323965
659, 0.323894
660, 0.323825
661, 0.323756
662, 0.323689
663, 0.323622
664, 0.323556
665, 0.323489
666, 0.323423
667, 0.323355
668, 0.323288
669, 0.323219
670, 0.323149
671, 0.323078
672, 0.323007
673, 0.322933
674, 0.322859
675, 0.322784
676, 0.322708
677, 0.32263
678, 0.322552
679, 0.322473
680, 0.322394
681, 0.322314
682, 0.322234
683, 0.322154
684, 0.322074
685, 0.321995
686, 0.321917
687, 0.321839
688, 0.321763
689, 0.321688
690, 0.321615
691, 0.321544
692, 0.321474
693, 0.321407
694, 0.321342
695, 0.321279
696, 0.321219
697, 0.321162
698, 0.321107
699, 0.321055
700, 0.321006



