

lambda(nm), Y
400, 0.465776
401, 0.463884
402, 0.461998
403, 0.460123
404, 0.458266
405, 0.456432
406, 0.454625
407, 0.452849
408, 0.451106
409, 0.449395
410, 0.447715
411, 0.446063
412, 0.444436
413, 0.442831
414, 0.441244
415, 0.439675
416, 0.438121
417, 0.436584
418, 0.435066
419, 0.43357
420, 0.432103
421, 0.430669
422, 0.429275
423, 0.427927
424, 0.426632
425, 0.425395
426, 0.424218
427, 0.423104
428, 0.422053
429, 0.421063
430, 0.420129
431, 0.419247
432, 0.41841
433, 0.41761
434, 0.416838
435, 0.416085
436, 0.415345
437, 0.41461
438, 0.413874
439, 0.413132
440, 0.412381
441, 0.411621
442, 0.410852
443, 0.410076
444, 0.409297
445, 0.40852
446, 0.407751
447, 0.406995
448, 0.406259
449, 0.405548
450, 0.404867
451, 0.404221
452, 0.403612
453, 0.403043
454, 0.402514
455, 0.402023
456, 0.401568
457, 0.401145
458, 0.40075
459, 0.400376
460, 0.400017
461, 0.399667
462, 0.399319
463, 0.398966
464, 0.398601
465, 0.398219
466, 0.397814
467, 0.397383
468, 0.396923
469, 0.396431
470, 0.395906
471, 0.395348
472, 0.394758
473, 0.394138
474, 0.39349
475, 0.392818
476, 0.392125
477, 0.391415
478, 0.390693
479, 0.389962
480, 0.389228
481, 0.388494
482, 0.387765
483, 0.387044
484, 0.386334
485, 0.385638
486, 0.384959
487, 0.384299
488, 0.383659
489, 0.383039
490, 0.382442
491, 0.381866
492, 0.381312
493, 0.380778
494, 0.380264
495, 0.379769
496, 0.37929
497, 0.378827
498, 0.378377
499, 0.377939
500, 0.377509
501, 0.377087
502, 0.376669
503, 0.376254
504, 0.37584
505, 0.375425
506, 0.375006
507, 0.374583
508, 0.374153
509, 0.373715
510, 0.373268
511, 0.372811
512, 0.372342
513, 0.371863
514, 0.371371
515, 0.370866
516, 0.37035
517, 0.369822
518, 0.369282
519, 0.368731
520, 0.368169
521, 0.367599
522, 0.36702
523, 0.366433
524, 0.365841
525, 0.365243
526, 0.364642
527, 0.364038
528, 0.363433
529, 0.362828
530, 0.362225
531, 0.361623
532, 0.361025
533, 0.360432
534, 0.359844
535, 0.359263
536, 0.358689
537, 0.358122
538, 0.357565
539, 0.357016
540, 0.356478
541, 0.35595
542, 0.355433
543, 0.354927
544, 0.354432
545, 0.35395
546, 0.353479
547, 0.353021
548, 0.352576
549, 0.352143
550, 0.351724
551, 0.351317
552, 0.350924
553, 0.350544
554, 0.350177
555, 0.349823
556, 0.349482
557, 0.349154
558, 0.348839
559, 0.348535
560, 0.348244
561, 0.347964
562, 0.347695
563, 0.347437
564, 0.347188
565, 0.346949
566, 0.346718
567, 0.346494
568, 0.346277
569, 0.346066
570, 0.34586
571, 0.345658
572, 0.34546
573, 0.345263
574, 0.345068
575, 0.344874
576, 0.344679
577, 0.344483
578, 0.344286
579, 0.344086
580, 0.343883
581, 0.343677
582, 0.343467
583, 0.343252
584, 0.343034
585, 0.34281
586, 0.342582
587, 0.34235
588, 0.342112
589, 0.341871
590, 0.341625
591, 0.341375
592, 0.341121
593, 0.340864
594, 0.340605
595, 0.340343
596, 0.340078
597, 0.339813
598, 0.339546
599, 0.339279
600, 0.339012
601, 0.338745
602, 0.338479
603, 0.338214
604, 0.33795
605, 0.337688
606, 0.337429
607, 0.337171
608, 0.336917
609, 0.336664
610, 0.336415
611, 0.336169
612, 0.335926
613, 0.335685
614, 0.335448
615, 0.335213
616, 0.334982
617, 0.334753
618, 0.334527
619, 0.334304
620, 0.334083
621, 0.333865
622, 0.333649
623, 0.333435
624, 0.333223
625, 0.333014
626, 0.332806
627, 0.332601
628, 0.332397
629, 0.332196
630, 0.331996
631, 0.331798
632, 0.331603
633, 0.331409
634, 0.331218
635, 0.331029
636, 0.330842
637, 0.330658
638, 0.330476
639, 0.330298
640, 0.330122
641, 0.329949
642, 0.32978
643, 0.329614
644, 0.329452
645, 0.329294
646, 0.329139
647, 0.328989
648, 0.328843
649, 0.328701
650, 0.328564
651, 0.328431
652, 0.328303
653, 0.32818
654, 0.328061
655, 0.327947
656, 0.327838
657, 0.327734
658, 0.327635
659, 0.32754
660, 0.32745
661, 0.327365
662, 0.327285
663, 0.327208
664, 0.327137
665, 0.327069
666, 0.327006
667, 0.326947
668, 0.326892
669, 0.32684
670, 0.326792
671, 0.326747
672, 0.326706
673, 0.326667
674, 0.326631
675, 0.326598
676, 0.326567
677, 0.326539
678, 0.326512
679, 0.326487
680, 0.326464
681, 0.326442
682, 0.326421
683, 0.326401
684, 0.326382
685, 0.326364
686, 0.326346
687, 0.326328
688, 0.32631
689, 0.326292
690, 0.326274
691, 0.326256
692, 0.326236
693, 0.326216
694, 0.326195
695, 0.326173
696, 0.32615
697, 0.326125
698, 0.326099
699, 0.326072
700, 0.326043



