

lambda(nm), Y
400, 0.385281
401, 0.38436
402, 0.383575
403, 0.382617
404, 0.381352
405, 0.379941
406, 0.378673
407, 0.377686
408, 0.376853
409, 0.375918
410, 0.374742
411, 0.373427
412, 0.372216
413, 0.371265
414, 0.370509
415, 0.369727
416, 0.368741
417, 0.367566
418, 0.36639
419, 0.365403
420, 0.364641
421, 0.363966
422, 0.363193
423, 0.362253
424, 0.361249
425, 0.360372
426, 0.359749
427, 0.359345
428, 0.358998
429, 0.358551
430, 0.357965
431, 0.357343
432, 0.356834
433, 0.356511
434, 0.356312
435, 0.356084
436, 0.355693
437, 0.355121
438, 0.354468
439, 0.353879
440, 0.353432
441, 0.353093
442, 0.35274
443, 0.352256
444, 0.351617
445, 0.350902
446, 0.350247
447, 0.34975
448, 0.349414
449, 0.349148
450, 0.348837
451, 0.348419
452, 0.347925
453, 0.347459
454, 0.347131
455, 0.346983
456, 0.346968
457, 0.346979
458, 0.346917
459, 0.346746
460, 0.346514
461, 0.346314
462, 0.346228
463, 0.346267
464, 0.346366
465, 0.346417
466, 0.346329
467, 0.346076
468, 0.345706
469, 0.345312
470, 0.344976
471, 0.344727
472, 0.34452
473, 0.344274
474, 0.343907
475, 0.343393
476, 0.342767
477, 0.342114
478, 0.341521
479, 0.341035
480, 0.340641
481, 0.340275
482, 0.339857
483, 0.339335
484, 0.338713
485, 0.338048
486, 0.337422
487, 0.336902
488, 0.336508
489, 0.336209
490, 0.335933
491, 0.335606
492, 0.335189
493, 0.334689
494, 0.334163
495, 0.333682
496, 0.333303
497, 0.333042
498, 0.332866
499, 0.332708
500, 0.332498
501, 0.332191
502, 0.331788
503, 0.331332
504, 0.330889
505, 0.33052
506, 0.330256
507, 0.330083
508, 0.329952
509, 0.329802
510, 0.329581
511, 0.329272
512, 0.328896
513, 0.328506
514, 0.328162
515, 0.327907
516, 0.32775
517, 0.327661
518, 0.327581
519, 0.327447
520, 0.327208
521, 0.326851
522, 0.326399
523, 0.325905
524, 0.325432
525, 0.325029
526, 0.324717
527, 0.324478
528, 0.32427
529, 0.324034
530, 0.323723
531, 0.323313
532, 0.322814
533, 0.322265
534, 0.321721
535, 0.321237
536, 0.320846
537, 0.320552
538, 0.320331
539, 0.320136
540, 0.319913
541, 0.319622
542, 0.319246
543, 0.318797
544, 0.31831
545, 0.317838
546, 0.317426
547, 0.317108
548, 0.31689
549, 0.316751
550, 0.316651
551, 0.316542
552, 0.31638
553, 0.31614
554, 0.315819
555, 0.315442
556, 0.315047
557, 0.31468
558, 0.31438
559, 0.31417
560, 0.31405
561, 0.313998
562, 0.313975
563, 0.313936
564, 0.313843
565, 0.313667
566, 0.313404
567, 0.313067
568, 0.312688
569, 0.312308
570, 0.311968
571, 0.311698
572, 0.311515
573, 0.311413
574, 0.31137
575, 0.311348
576, 0.311304
577, 0.311196
578, 0.31099
579, 0.310671
580, 0.31024
581, 0.30972
582, 0.309148
583, 0.308571
584, 0.308041
585, 0.307599
586, 0.307274
587, 0.307074
588, 0.306978
589, 0.306941
590, 0.306891
591, 0.30674
592, 0.306388
593, 0.305736
594, 0.304699
595, 0.303214
596, 0.301251
597, 0.29882
598, 0.29597
599, 0.292787
600, 0.289387
601, 0.285903
602, 0.282476
603, 0.279236
604, 0.276293
605, 0.273726
606, 0.271576
607, 0.269848
608, 0.268511
609, 0.267508
610, 0.266766
611, 0.266202
612, 0.265743
613, 0.265325
614, 0.264906
615, 0.264466
616, 0.264003
617, 0.263534
618, 0.263084
619, 0.262685
620, 0.262362
621, 0.262134
622, 0.262009
623, 0.261982
624, 0.262038
625, 0.262153
626, 0.262304
627, 0.262464
628, 0.262615
629, 0.262745
630, 0.26285
631, 0.262936
632, 0.263014
633, 0.263099
634, 0.263206
635, 0.263348
636, 0.263533
637, 0.263763
638, 0.264034
639, 0.264336
640, 0.264657
641, 0.264982
642, 0.265299
643, 0.265598
644, 0.265875
645, 0.266129
646, 0.266365
647, 0.26659
648, 0.266814
649, 0.267046
650, 0.267296
651, 0.267567
652, 0.267862
653, 0.268177
654, 0.268508
655, 0.268846
656, 0.269182
657, 0.269509
658, 0.269819
659, 0.270109
660, 0.270379
661, 0.270629
662, 0.270867
663, 0.271097
664, 0.271326
665, 0.271562
666, 0.271809
667, 0.272069
668, 0.272343
669, 0.272627
670, 0.272917
671, 0.273208
672, 0.273492
673, 0.273765
674, 0.274023
675, 0.274262
676, 0.274483
677, 0.274688
678, 0.274881
679, 0.275066
680, 0.275248
681, 0.275433
682, 0.275623
683, 0.275821
684, 0.276028
685, 0.276241
686, 0.276459
687, 0.276676
688, 0.27689
689, 0.277094
690, 0.277287
691, 0.277465
692, 0.277627
693, 0.277774
694, 0.277909
695, 0.278033
696, 0.278152
697, 0.278268
698, 0.278385
699, 0.278506
700, 0.278632



