

lambda(nm), Y
400, 0.437147
401, 0.435473
402, 0.433757
403, 0.432186
404, 0.430813
405, 0.429509
406, 0.428081
407, 0.426435
408, 0.424661
409, 0.422961
410, 0.421502
411, 0.420289
412, 0.419168
413, 0.417951
414, 0.416554
415, 0.415052
416, 0.413615
417, 0.412374
418, 0.41132
419, 0.410316
420, 0.409191
421, 0.407867
422, 0.406411
423, 0.404991
424, 0.403768
425, 0.402797
426, 0.402
427, 0.401225
428, 0.400351
429, 0.399363
430, 0.398352
431, 0.397459
432, 0.396784
433, 0.396324
434, 0.395978
435, 0.395598
436, 0.395066
437, 0.394348
438, 0.393496
439, 0.392622
440, 0.391836
441, 0.391204
442, 0.390723
443, 0.390321
444, 0.389872
445, 0.38923
446, 0.388251
447, 0.386826
448, 0.384913
449, 0.38256
450, 0.379909
451, 0.377176
452, 0.374608
453, 0.372418
454, 0.370736
455, 0.369574
456, 0.368842
457, 0.368383
458, 0.368037
459, 0.367688
460, 0.367291
461, 0.366865
462, 0.366465
463, 0.366138
464, 0.365901
465, 0.365728
466, 0.365569
467, 0.365372
468, 0.365106
469, 0.364774
470, 0.364402
471, 0.364028
472, 0.363676
473, 0.36335
474, 0.363031
475, 0.362688
476, 0.362298
477, 0.361852
478, 0.361362
479, 0.360854
480, 0.360356
481, 0.359888
482, 0.359451
483, 0.359031
484, 0.358611
485, 0.358173
486, 0.357715
487, 0.357246
488, 0.356789
489, 0.356363
490, 0.355983
491, 0.355651
492, 0.355356
493, 0.355081
494, 0.354807
495, 0.354525
496, 0.354236
497, 0.353949
498, 0.353678
499, 0.353433
500, 0.353214
501, 0.353015
502, 0.35282
503, 0.352614
504, 0.352383
505, 0.352123
506, 0.35184
507, 0.351542
508, 0.351243
509, 0.350951
510, 0.350668
511, 0.350386
512, 0.350095
513, 0.349783
514, 0.349439
515, 0.349064
516, 0.348663
517, 0.348247
518, 0.34783
519, 0.347422
520, 0.347029
521, 0.346648
522, 0.34627
523, 0.345886
524, 0.345483
525, 0.345058
526, 0.344611
527, 0.344147
528, 0.343678
529, 0.343213
530, 0.34276
531, 0.342322
532, 0.341895
533, 0.341474
534, 0.341049
535, 0.340616
536, 0.34017
537, 0.339714
538, 0.339255
539, 0.338802
540, 0.338364
541, 0.337947
542, 0.337554
543, 0.337183
544, 0.336826
545, 0.336477
546, 0.336129
547, 0.335776
548, 0.335421
549, 0.335066
550, 0.334721
551, 0.334394
552, 0.334093
553, 0.333824
554, 0.333586
555, 0.333376
556, 0.333187
557, 0.333011
558, 0.33284
559, 0.332668
560, 0.332492
561, 0.332313
562, 0.332136
563, 0.331965
564, 0.331805
565, 0.33166
566, 0.33153
567, 0.331412
568, 0.331302
569, 0.331193
570, 0.33108
571, 0.330957
572, 0.330822
573, 0.330676
574, 0.330521
575, 0.330363
576, 0.330206
577, 0.330055
578, 0.329912
579, 0.329778
580, 0.329649
581, 0.329523
582, 0.329393
583, 0.329254
584, 0.329102
585, 0.328934
586, 0.328752
587, 0.328556
588, 0.328351
589, 0.328142
590, 0.327934
591, 0.327731
592, 0.327534
593, 0.327345
594, 0.327162
595, 0.326983
596, 0.326805
597, 0.326626
598, 0.326443
599, 0.326255
600, 0.326064
601, 0.325871
602, 0.325678
603, 0.32549
604, 0.325307
605, 0.325132
606, 0.324964
607, 0.324804
608, 0.324649
609, 0.324495
610, 0.32434
611, 0.324179
612, 0.324011
613, 0.323834
614, 0.323649
615, 0.323455
616, 0.323257
617, 0.323056
618, 0.322858
619, 0.322665
620, 0.322479
621, 0.322303
622, 0.322137
623, 0.321979
624, 0.321829
625, 0.321683
626, 0.321538
627, 0.321391
628, 0.321241
629, 0.321085
630, 0.320922
631, 0.320754
632, 0.320582
633, 0.320408
634, 0.320235
635, 0.320067
636, 0.319906
637, 0.319755
638, 0.319616
639, 0.319489
640, 0.319373
641, 0.319266
642, 0.319166
643, 0.319068
644, 0.318968
645, 0.318862
646, 0.318748
647, 0.318623
648, 0.318486
649, 0.318339
650, 0.318184
651, 0.318025
652, 0.317868
653, 0.317719
654, 0.317585
655, 0.317472
656, 0.317385
657, 0.317327
658, 0.317299
659, 0.317297
660, 0.317318
661, 0.317352
662, 0.31739
663, 0.317417
664, 0.317421
665, 0.317387
666, 0.317304
667, 0.31716
668, 0.316947
669, 0.316663
670, 0.316306
671, 0.315882
672, 0.3154
673, 0.31487
674, 0.31431
675, 0.313736
676, 0.313165
677, 0.312616
678, 0.312105
679, 0.311645
680, 0.311246
681, 0.310916
682, 0.310656
683, 0.310467
684, 0.310343
685, 0.310277
686, 0.310259
687, 0.310279
688, 0.310325
689, 0.310387
690, 0.310454
691, 0.310519
692, 0.310576
693, 0.310621
694, 0.310653
695, 0.310672
696, 0.31068
697, 0.310681
698, 0.310677
699, 0.310673
700, 0.310672



