

lambda(nm), Y
400, 0.453851
401, 0.451931
402, 0.450031
403, 0.448157
404, 0.446313
405, 0.444505
406, 0.442733
407, 0.440998
408, 0.439298
409, 0.437629
410, 0.435987
411, 0.434368
412, 0.432766
413, 0.431178
414, 0.429603
415, 0.428038
416, 0.426485
417, 0.424948
418, 0.42343
419, 0.421937
420, 0.420477
421, 0.419057
422, 0.417684
423, 0.416364
424, 0.415104
425, 0.413907
426, 0.412775
427, 0.411708
428, 0.410706
429, 0.409763
430, 0.408875
431, 0.408036
432, 0.407236
433, 0.406467
434, 0.405721
435, 0.40499
436, 0.404264
437, 0.403538
438, 0.402806
439, 0.402064
440, 0.401309
441, 0.40054
442, 0.399758
443, 0.398966
444, 0.398166
445, 0.397364
446, 0.396564
447, 0.395773
448, 0.394997
449, 0.39424
450, 0.393509
451, 0.392808
452, 0.39214
453, 0.391508
454, 0.390914
455, 0.390357
456, 0.389836
457, 0.38935
458, 0.388894
459, 0.388464
460, 0.388055
461, 0.387661
462, 0.387275
463, 0.386892
464, 0.386505
465, 0.386108
466, 0.385696
467, 0.385263
468, 0.384806
469, 0.384322
470, 0.383808
471, 0.383263
472, 0.382688
473, 0.382082
474, 0.381449
475, 0.38079
476, 0.380108
477, 0.379408
478, 0.378694
479, 0.37797
480, 0.377241
481, 0.376511
482, 0.375785
483, 0.375066
484, 0.374359
485, 0.373666
486, 0.372989
487, 0.37233
488, 0.371691
489, 0.371072
490, 0.370472
491, 0.369891
492, 0.369329
493, 0.368782
494, 0.36825
495, 0.36773
496, 0.36722
497, 0.366717
498, 0.366219
499, 0.365723
500, 0.365228
501, 0.364732
502, 0.364233
503, 0.363729
504, 0.36322
505, 0.362705
506, 0.362184
507, 0.361655
508, 0.361121
509, 0.36058
510, 0.360034
511, 0.359483
512, 0.358928
513, 0.358371
514, 0.357811
515, 0.357251
516, 0.35669
517, 0.356131
518, 0.355572
519, 0.355017
520, 0.354464
521, 0.353914
522, 0.353367
523, 0.352824
524, 0.352285
525, 0.35175
526, 0.351219
527, 0.350691
528, 0.350166
529, 0.349645
530, 0.349127
531, 0.348612
532, 0.348101
533, 0.347593
534, 0.347088
535, 0.346586
536, 0.346089
537, 0.345596
538, 0.345108
539, 0.344626
540, 0.344149
541, 0.34368
542, 0.343218
543, 0.342764
544, 0.34232
545, 0.341886
546, 0.341463
547, 0.341052
548, 0.340653
549, 0.340266
550, 0.339893
551, 0.339534
552, 0.339188
553, 0.338857
554, 0.33854
555, 0.338236
556, 0.337946
557, 0.337668
558, 0.337403
559, 0.337149
560, 0.336906
561, 0.336672
562, 0.336446
563, 0.336227
564, 0.336014
565, 0.335804
566, 0.335598
567, 0.335392
568, 0.335187
569, 0.334979
570, 0.334768
571, 0.334553
572, 0.334332
573, 0.334104
574, 0.333868
575, 0.333623
576, 0.333368
577, 0.333102
578, 0.332826
579, 0.332539
580, 0.33224
581, 0.33193
582, 0.331609
583, 0.331278
584, 0.330936
585, 0.330585
586, 0.330226
587, 0.329859
588, 0.329486
589, 0.329108
590, 0.328726
591, 0.328341
592, 0.327955
593, 0.327569
594, 0.327184
595, 0.326803
596, 0.326426
597, 0.326054
598, 0.325689
599, 0.325331
600, 0.324982
601, 0.324644
602, 0.324315
603, 0.323998
604, 0.323692
605, 0.323398
606, 0.323117
607, 0.322848
608, 0.322591
609, 0.322347
610, 0.322115
611, 0.321894
612, 0.321684
613, 0.321485
614, 0.321297
615, 0.321117
616, 0.320947
617, 0.320784
618, 0.320628
619, 0.320479
620, 0.320335
621, 0.320197
622, 0.320063
623, 0.319932
624, 0.319804
625, 0.319679
626, 0.319556
627, 0.319434
628, 0.319314
629, 0.319195
630, 0.319077
631, 0.318959
632, 0.318842
633, 0.318726
634, 0.318611
635, 0.318497
636, 0.318384
637, 0.318273
638, 0.318163
639, 0.318056
640, 0.317951
641, 0.317848
642, 0.317749
643, 0.317654
644, 0.317562
645, 0.317474
646, 0.31739
647, 0.317312
648, 0.317237
649, 0.317168
650, 0.317104
651, 0.317045
652, 0.31699
653, 0.316941
654, 0.316897
655, 0.316857
656, 0.316822
657, 0.316791
658, 0.316765
659, 0.316742
660, 0.316722
661, 0.316705
662, 0.316691
663, 0.316679
664, 0.31667
665, 0.316661
666, 0.316654
667, 0.316647
668, 0.316641
669, 0.316634
670, 0.316628
671, 0.316621
672, 0.316612
673, 0.316603
674, 0.316593
675, 0.316581
676, 0.316568
677, 0.316553
678, 0.316537
679, 0.316519
680, 0.3165
681, 0.316479
682, 0.316456
683, 0.316433
684, 0.316408
685, 0.316383
686, 0.316357
687, 0.31633
688, 0.316303
689, 0.316276
690, 0.316248
691, 0.316221
692, 0.316195
693, 0.316168
694, 0.316143
695, 0.316118
696, 0.316093
697, 0.31607
698, 0.316047
699, 0.316026
700, 0.316005



