

lambda(nm), Y
400, 0.464305
401, 0.462427
402, 0.460558
403, 0.4587
404, 0.45686
405, 0.455042
406, 0.45325
407, 0.451487
408, 0.449755
409, 0.448055
410, 0.446384
411, 0.444742
412, 0.443125
413, 0.441531
414, 0.439956
415, 0.438399
416, 0.436859
417, 0.435336
418, 0.433832
419, 0.432349
420, 0.430893
421, 0.429468
422, 0.428081
423, 0.426738
424, 0.425445
425, 0.424207
426, 0.423028
427, 0.421911
428, 0.420857
429, 0.419864
430, 0.41893
431, 0.41805
432, 0.417217
433, 0.416425
434, 0.415664
435, 0.414927
436, 0.414204
437, 0.413489
438, 0.412774
439, 0.412054
440, 0.411326
441, 0.410586
442, 0.409836
443, 0.409076
444, 0.40831
445, 0.407542
446, 0.406777
447, 0.406022
448, 0.405282
449, 0.404565
450, 0.403875
451, 0.403218
452, 0.402596
453, 0.402014
454, 0.401471
455, 0.400968
456, 0.400502
457, 0.400069
458, 0.399666
459, 0.399286
460, 0.398924
461, 0.398571
462, 0.398222
463, 0.397868
464, 0.397503
465, 0.397121
466, 0.396716
467, 0.396283
468, 0.39582
469, 0.395323
470, 0.394792
471, 0.394226
472, 0.393627
473, 0.392996
474, 0.392336
475, 0.391651
476, 0.390945
477, 0.390223
478, 0.389489
479, 0.388748
480, 0.388005
481, 0.387265
482, 0.386531
483, 0.385808
484, 0.385098
485, 0.384406
486, 0.383732
487, 0.383079
488, 0.382447
489, 0.381838
490, 0.381251
491, 0.380686
492, 0.380142
493, 0.379617
494, 0.379111
495, 0.378622
496, 0.378147
497, 0.377685
498, 0.377233
499, 0.37679
500, 0.376354
501, 0.375922
502, 0.375493
503, 0.375065
504, 0.374636
505, 0.374204
506, 0.373769
507, 0.373329
508, 0.372883
509, 0.372431
510, 0.37197
511, 0.371501
512, 0.371024
513, 0.370538
514, 0.370042
515, 0.369537
516, 0.369023
517, 0.368499
518, 0.367967
519, 0.367426
520, 0.366876
521, 0.366319
522, 0.365754
523, 0.365183
524, 0.364605
525, 0.364022
526, 0.363435
527, 0.362843
528, 0.362249
529, 0.361652
530, 0.361054
531, 0.360456
532, 0.359859
533, 0.359263
534, 0.35867
535, 0.358081
536, 0.357496
537, 0.356917
538, 0.356346
539, 0.355782
540, 0.355227
541, 0.354682
542, 0.354147
543, 0.353625
544, 0.353115
545, 0.352618
546, 0.352135
547, 0.351667
548, 0.351213
549, 0.350775
550, 0.350353
551, 0.349947
552, 0.349556
553, 0.349182
554, 0.348824
555, 0.348481
556, 0.348153
557, 0.34784
558, 0.347541
559, 0.347255
560, 0.346982
561, 0.34672
562, 0.34647
563, 0.346229
564, 0.345997
565, 0.345773
566, 0.345555
567, 0.345343
568, 0.345136
569, 0.344932
570, 0.34473
571, 0.34453
572, 0.34433
573, 0.34413
574, 0.343928
575, 0.343725
576, 0.34352
577, 0.343311
578, 0.343099
579, 0.342883
580, 0.342663
581, 0.342438
582, 0.34221
583, 0.341976
584, 0.341739
585, 0.341497
586, 0.341252
587, 0.341002
588, 0.34075
589, 0.340494
590, 0.340235
591, 0.339974
592, 0.339711
593, 0.339446
594, 0.33918
595, 0.338914
596, 0.338647
597, 0.33838
598, 0.338113
599, 0.337848
600, 0.337583
601, 0.33732
602, 0.337058
603, 0.336799
604, 0.336541
605, 0.336286
606, 0.336033
607, 0.335782
608, 0.335534
609, 0.335289
610, 0.335046
611, 0.334806
612, 0.334569
613, 0.334335
614, 0.334104
615, 0.333875
616, 0.333649
617, 0.333426
618, 0.333205
619, 0.332987
620, 0.332772
621, 0.33256
622, 0.33235
623, 0.332143
624, 0.331938
625, 0.331736
626, 0.331536
627, 0.33134
628, 0.331145
629, 0.330954
630, 0.330765
631, 0.330579
632, 0.330395
633, 0.330215
634, 0.330037
635, 0.329861
636, 0.329689
637, 0.32952
638, 0.329353
639, 0.32919
640, 0.329029
641, 0.328871
642, 0.328717
643, 0.328565
644, 0.328417
645, 0.328272
646, 0.32813
647, 0.327991
648, 0.327855
649, 0.327722
650, 0.327593
651, 0.327467
652, 0.327345
653, 0.327225
654, 0.32711
655, 0.326997
656, 0.326888
657, 0.326782
658, 0.32668
659, 0.326581
660, 0.326486
661, 0.326394
662, 0.326306
663, 0.326221
664, 0.32614
665, 0.326062
666, 0.325987
667, 0.325916
668, 0.325849
669, 0.325785
670, 0.325724
671, 0.325667
672, 0.325612
673, 0.325561
674, 0.325514
675, 0.325469
676, 0.325427
677, 0.325388
678, 0.325351
679, 0.325317
680, 0.325286
681, 0.325257
682, 0.32523
683, 0.325205
684, 0.325182
685, 0.325161
686, 0.325141
687, 0.325122
688, 0.325105
689, 0.325089
690, 0.325073
691, 0.325059
692, 0.325044
693, 0.32503
694, 0.325016
695, 0.325002
696, 0.324987
697, 0.324973
698, 0.324957
699, 0.324941
700, 0.324924



