

lambda(nm), Y
400, 0.425558
401, 0.423623
402, 0.421908
403, 0.420655
404, 0.419597
405, 0.418254
406, 0.416441
407, 0.41446
408, 0.412787
409, 0.411601
410, 0.410619
411, 0.4094
412, 0.407782
413, 0.406034
414, 0.404579
415, 0.403583
416, 0.402802
417, 0.401811
418, 0.400396
419, 0.398735
420, 0.39723
421, 0.396139
422, 0.395367
423, 0.394558
424, 0.393423
425, 0.391982
426, 0.390551
427, 0.389473
428, 0.388846
429, 0.388458
430, 0.387966
431, 0.387159
432, 0.386111
433, 0.385102
434, 0.384403
435, 0.384075
436, 0.383931
437, 0.383666
438, 0.383053
439, 0.382075
440, 0.380914
441, 0.379845
442, 0.379081
443, 0.378665
444, 0.378444
445, 0.378103
446, 0.377246
447, 0.375511
448, 0.372683
449, 0.368782
450, 0.364099
451, 0.359141
452, 0.354487
453, 0.350608
454, 0.347734
455, 0.345802
456, 0.344531
457, 0.343574
458, 0.342668
459, 0.341714
460, 0.340766
461, 0.339944
462, 0.339339
463, 0.338952
464, 0.338701
465, 0.338477
466, 0.338204
467, 0.337872
468, 0.337525
469, 0.337218
470, 0.336978
471, 0.336788
472, 0.336599
473, 0.336362
474, 0.336059
475, 0.335708
476, 0.335346
477, 0.335012
478, 0.334715
479, 0.334442
480, 0.334161
481, 0.333848
482, 0.333501
483, 0.33314
484, 0.332793
485, 0.332485
486, 0.332221
487, 0.331988
488, 0.331765
489, 0.331537
490, 0.331305
491, 0.331083
492, 0.330894
493, 0.330755
494, 0.330668
495, 0.33062
496, 0.330588
497, 0.330551
498, 0.3305
499, 0.330435
500, 0.330368
501, 0.330311
502, 0.330267
503, 0.330231
504, 0.330188
505, 0.330125
506, 0.330031
507, 0.329906
508, 0.329758
509, 0.3296
510, 0.329439
511, 0.329278
512, 0.32911
513, 0.328925
514, 0.328712
515, 0.328467
516, 0.328192
517, 0.327897
518, 0.327592
519, 0.327284
520, 0.326976
521, 0.326662
522, 0.326336
523, 0.325991
524, 0.325622
525, 0.325234
526, 0.324833
527, 0.324429
528, 0.324029
529, 0.323636
530, 0.32325
531, 0.322867
532, 0.322485
533, 0.322104
534, 0.321729
535, 0.321369
536, 0.321033
537, 0.32073
538, 0.320463
539, 0.320229
540, 0.320019
541, 0.319824
542, 0.319632
543, 0.319437
544, 0.31924
545, 0.319042
546, 0.318852
547, 0.318674
548, 0.318514
549, 0.31837
550, 0.318238
551, 0.318113
552, 0.317988
553, 0.317859
554, 0.317727
555, 0.317593
556, 0.317464
557, 0.317344
558, 0.317238
559, 0.317144
560, 0.317061
561, 0.316983
562, 0.316904
563, 0.31682
564, 0.316729
565, 0.316631
566, 0.316531
567, 0.316432
568, 0.316339
569, 0.316253
570, 0.316174
571, 0.316098
572, 0.316022
573, 0.315939
574, 0.315847
575, 0.315743
576, 0.315628
577, 0.315506
578, 0.315381
579, 0.315255
580, 0.315132
581, 0.315011
582, 0.31489
583, 0.314766
584, 0.314633
585, 0.314489
586, 0.314329
587, 0.314155
588, 0.313968
589, 0.31377
590, 0.313566
591, 0.313359
592, 0.313153
593, 0.31295
594, 0.312753
595, 0.312563
596, 0.312382
597, 0.31221
598, 0.31205
599, 0.311904
600, 0.311774
601, 0.31166
602, 0.311563
603, 0.311481
604, 0.311408
605, 0.311342
606, 0.311275
607, 0.311204
608, 0.311125
609, 0.311035
610, 0.310936
611, 0.31083
612, 0.31072
613, 0.310611
614, 0.310506
615, 0.310408
616, 0.310316
617, 0.310231
618, 0.310149
619, 0.310068
620, 0.309983
621, 0.309893
622, 0.309796
623, 0.309693
624, 0.309587
625, 0.30948
626, 0.309376
627, 0.309278
628, 0.309189
629, 0.309108
630, 0.309034
631, 0.308967
632, 0.308901
633, 0.308836
634, 0.308767
635, 0.308693
636, 0.308615
637, 0.308533
638, 0.308451
639, 0.308371
640, 0.308297
641, 0.30823
642, 0.308173
643, 0.308124
644, 0.308083
645, 0.308046
646, 0.308011
647, 0.307975
648, 0.307935
649, 0.307891
650, 0.307841
651, 0.307788
652, 0.307735
653, 0.307683
654, 0.307636
655, 0.307595
656, 0.307563
657, 0.307539
658, 0.307522
659, 0.307508
660, 0.307496
661, 0.307482
662, 0.307463
663, 0.307438
664, 0.307406
665, 0.307367
666, 0.307324
667, 0.307279
668, 0.307236
669, 0.307196
670, 0.307163
671, 0.307136
672, 0.307115
673, 0.307098
674, 0.307082
675, 0.307063
676, 0.307037
677, 0.307001
678, 0.306953
679, 0.30689
680, 0.306814
681, 0.306726
682, 0.306631
683, 0.306532
684, 0.306436
685, 0.306346
686, 0.306269
687, 0.306207
688, 0.306162
689, 0.306137
690, 0.30613
691, 0.306139
692, 0.306163
693, 0.306197
694, 0.30624
695, 0.306287
696, 0.306336
697, 0.306386
698, 0.306435
699, 0.306484
700, 0.306532



