

lambda(nm), Y
400, 0.429955
401, 0.423972
402, 0.418234
403, 0.413302
404, 0.409472
405, 0.406668
406, 0.404518
407, 0.402593
408, 0.400639
409, 0.398663
410, 0.396843
411, 0.395336
412, 0.39415
413, 0.393144
414, 0.392138
415, 0.391042
416, 0.389895
417, 0.38881
418, 0.387869
419, 0.387056
420, 0.386272
421, 0.385418
422, 0.384466
423, 0.383479
424, 0.382566
425, 0.381803
426, 0.381187
427, 0.38065
428, 0.380113
429, 0.379544
430, 0.378974
431, 0.378473
432, 0.378093
433, 0.377826
434, 0.377609
435, 0.37736
436, 0.377028
437, 0.376618
438, 0.37618
439, 0.375773
440, 0.375424
441, 0.37511
442, 0.374779
443, 0.37438
444, 0.373902
445, 0.373376
446, 0.372861
447, 0.372408
448, 0.372036
449, 0.37172
450, 0.371416
451, 0.371085
452, 0.37072
453, 0.37035
454, 0.370021
455, 0.369771
456, 0.369608
457, 0.369507
458, 0.369421
459, 0.369307
460, 0.369146
461, 0.368952
462, 0.368754
463, 0.368586
464, 0.368456
465, 0.36835
466, 0.368228
467, 0.368048
468, 0.367786
469, 0.367443
470, 0.367045
471, 0.366629
472, 0.366223
473, 0.365836
474, 0.365454
475, 0.365046
476, 0.364587
477, 0.364065
478, 0.363491
479, 0.362896
480, 0.362315
481, 0.361777
482, 0.36129
483, 0.360842
484, 0.360409
485, 0.359964
486, 0.359493
487, 0.359
488, 0.358504
489, 0.358031
490, 0.357605
491, 0.357235
492, 0.356911
493, 0.356611
494, 0.35631
495, 0.355986
496, 0.355634
497, 0.355262
498, 0.354891
499, 0.354543
500, 0.354233
501, 0.353964
502, 0.353723
503, 0.353487
504, 0.353232
505, 0.35294
506, 0.352608
507, 0.352245
508, 0.35187
509, 0.351505
510, 0.351166
511, 0.350858
512, 0.350574
513, 0.350294
514, 0.349999
515, 0.349671
516, 0.349299
517, 0.348889
518, 0.348451
519, 0.348004
520, 0.347565
521, 0.347144
522, 0.346741
523, 0.346347
524, 0.345947
525, 0.345525
526, 0.345069
527, 0.344577
528, 0.344054
529, 0.343514
530, 0.342976
531, 0.342455
532, 0.341962
533, 0.3415
534, 0.34106
535, 0.340632
536, 0.340201
537, 0.339755
538, 0.339287
539, 0.3388
540, 0.338303
541, 0.337808
542, 0.337333
543, 0.336888
544, 0.336482
545, 0.336116
546, 0.335783
547, 0.335473
548, 0.335175
549, 0.334878
550, 0.334576
551, 0.334269
552, 0.333961
553, 0.333662
554, 0.333382
555, 0.333128
556, 0.332906
557, 0.332718
558, 0.332557
559, 0.332414
560, 0.332279
561, 0.33214
562, 0.331986
563, 0.331814
564, 0.331621
565, 0.331411
566, 0.331194
567, 0.330978
568, 0.330774
569, 0.33059
570, 0.33043
571, 0.330297
572, 0.330184
573, 0.330084
574, 0.329986
575, 0.329876
576, 0.329744
577, 0.32958
578, 0.329379
579, 0.329142
580, 0.328876
581, 0.328591
582, 0.328301
583, 0.328023
584, 0.32777
585, 0.327554
586, 0.327379
587, 0.327242
588, 0.32713
589, 0.327024
590, 0.326896
591, 0.326714
592, 0.326445
593, 0.326059
594, 0.325534
595, 0.324854
596, 0.32402
597, 0.323041
598, 0.321944
599, 0.320761
600, 0.319536
601, 0.318315
602, 0.317142
603, 0.316057
604, 0.315092
605, 0.314267
606, 0.313591
607, 0.31306
608, 0.312661
609, 0.312372
610, 0.312166
611, 0.312016
612, 0.311896
613, 0.311784
614, 0.311666
615, 0.311532
616, 0.311379
617, 0.311212
618, 0.311036
619, 0.310862
620, 0.310698
621, 0.310551
622, 0.310427
623, 0.310327
624, 0.31025
625, 0.310192
626, 0.310146
627, 0.310107
628, 0.310066
629, 0.310021
630, 0.309967
631, 0.309903
632, 0.30983
633, 0.309752
634, 0.309673
635, 0.309595
636, 0.309524
637, 0.309463
638, 0.309412
639, 0.309373
640, 0.309344
641, 0.309322
642, 0.309306
643, 0.30929
644, 0.309273
645, 0.309252
646, 0.309225
647, 0.309191
648, 0.309151
649, 0.309106
650, 0.309058
651, 0.309008
652, 0.308958
653, 0.30891
654, 0.308864
655, 0.308822
656, 0.308783
657, 0.308747
658, 0.308715
659, 0.308686
660, 0.30866
661, 0.308637
662, 0.308619
663, 0.308607
664, 0.308602
665, 0.308606
666, 0.30862
667, 0.308645
668, 0.308683
669, 0.308732
670, 0.308792
671, 0.308861
672, 0.308937
673, 0.309018
674, 0.309102
675, 0.309184
676, 0.309264
677, 0.309339
678, 0.309409
679, 0.309472
680, 0.309529
681, 0.309582
682, 0.309631
683, 0.309678
684, 0.309725
685, 0.309773
686, 0.309823
687, 0.309877
688, 0.309934
689, 0.309994
690, 0.310056
691, 0.310119
692, 0.310182
693, 0.310242
694, 0.310298
695, 0.31035
696, 0.310397
697, 0.310437
698, 0.310472
699, 0.310502
700, 0.310528



